url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/222513/chai-tea-latte/,Chai Tea Latte,5 mins,"Make your own milky chai tea lattes with this homemade recipe that uses boiling water, milk, sugar, honey, and a chai tea bag. Delicious hot or iced!",Step1: Pour boiling water over chai tea bag in a mug; let steep 4 to 6 minutes. Remove and discard tea bag. Step2: Stir honey and sugar into tea to dissolve. Stir milk through tea to serve.,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0bea9aae981bbb6bc83e4bfaab3b8a00%2F168104633592420230409_090248.jpg,"0.75 cup boiling water, 1 chai tea bag, 1.5 teaspoons honey, 1 teaspoon white sugar, 0.75 cup milk",5 mins,1,5 mins,2023-07-28T14:50:03Z
https://www.allrecipes.com/recipe/15156/easy-chicken-curry/,Easy Chicken Curry,30 mins,"This easy chicken curry recipe requires just 4 ingredients: chicken olive oil, onions, and curry powder. It&#39;s a one-skillet meal that packs quite a punch.","Step1: Heat oil in a large skillet over medium heat until hot. Add onion and sauté until soft and golden brown, 5 to 8 minutes. Slowly stir in curry powder until well blended. Add chicken; reduce the heat to low, cover, and cook until chicken is no longer pink in the center and the juices run clear, 20 to 40 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Step2: Uncover and cook, stirring constantly to prevent burning, until pan juices reduce to desired amount, 3 to 5 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6677919.jpg,"0.25 cup olive oil, 2 large onions, diced, 0.33333334326744 cup curry powder, or to taste, 6 skinless, boneless chicken breast halves - cut into strips",10 mins,6,40 mins,2023-07-28T14:50:47Z
https://www.allrecipes.com/recipe/265472/vegan-sweet-potato-chickpea-curry/,Vegan Sweet Potato Chickpea Curry,20 mins,"This sweet potato chickpea curry is a yummy vegan dish with sweet potatoes, chickpeas, spinach, and coconut milk seasoned with various Indian spices.","Step1: Heat oil in a skillet over medium heat. Cook onion, garlic, and ginger in hot oil until softened, about 5 minutes. Add chickpeas, tomatoes, coconut milk, and sweet potato. Bring to a boil, reduce heat to low, and simmer until tender, about 15 minutes. Step2: Season with garam masala, cumin, turmeric, salt, and chile flakes. Add spinach right before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fd63eeeb1e90002f780d8e73e0b8a1842%2F1680198493673IMG_7373.jpg,"3 tablespoons olive oil, 1 onion, chopped, 2 cloves garlic, minced, 2 teaspoons minced fresh ginger root, 1 (15 ounce) can chickpeas, drained, 1 (14.5 ounce) can diced tomatoes, 1 (14 ounce) can coconut milk, 1 sweet potato, cubed, 1 tablespoon garam masala, 1 teaspoon ground cumin, 1 teaspoon ground turmeric, 0.5 teaspoon salt, 0.25 teaspoon red chile flakes, 1 cup baby spinach",10 mins,6,30 mins,2023-07-28T14:50:57Z
https://www.allrecipes.com/recipe/25881/basic-curry-sauce/,Easy Curry Sauce,30 mins,"This curry sauce is fragrant and rich, made with coriander, cumin, turmeric, garlic, and ginger, mixed with puréed tomatoes, chile pepper, and yogurt.","Step1: Heat oil and margarine in a small skillet or wok over medium-high heat. Add onion and sauté until very brown, 10 to 15 minutes; do not undercook or sauce will taste funny. Step2: Add garlic and ginger to onions; sauté for an additional 2 minutes. Transfer mixture to a food processor and blend until smooth. Do not rinse the food processor. Step3: Place blended onion mixture in a large saucepan. Stir in coriander, cumin, cinnamon, black pepper, cayenne pepper, and turmeric; cook over low heat until mixture is thick and has a paste-like consistency. Step4: Purée tomatoes, chile peppers, and cilantro in the food processor until smooth. Add to onion mixture and stir over low heat, cooking off moisture from tomatoes and peppers. Add yogurt a little bit at a time, stirring constantly to avoid curdling. Step5: Blend mixture in the food processor until smooth. Return to saucepan, add water, and increase heat to high; bring sauce to a rolling boil. Cover saucepan and boil for 3 to 5 minutes. Reduce heat and simmer until desired consistency is reached.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F6e46eeeef5bee4dba6658784fc22cddb%2F1645032936image.jpg,"2 tablespoons peanut oil, 1 tablespoon margarine, 1 large onion, chopped, 2 tablespoons minced garlic, 1 tablespoon minced fresh ginger root, 2 tablespoons ground coriander, 2 tablespoons ground cumin, 1 teaspoon ground cinnamon, 1 teaspoon ground black pepper, 1 teaspoon cayenne pepper, 0.25 teaspoon ground turmeric, 2 tomatoes, 2 serrano chile peppers, seeded, 0.5 cup fresh cilantro, 0.5 cup yogurt, whisked until smooth, 3 cups water",15 mins,8,45 mins,2023-07-28T14:51:17Z
https://www.allrecipes.com/recipe/16641/red-lentil-curry/,Red Lentil Curry,40 mins,"This red lentil curry is a rich and hearty vegetarian curry made with caramelized onions, spices, and tomato puree for a filling and satisfying meal.","Step1: Wash lentils in cold water until water runs clear. Step2: Put lentils in a pot with enough water to cover; bring to a boil and reduce heat to medium-low. Cover and simmer, adding water as needed to keep lentils covered, until tender, 15 to 20 minutes. Drain. Step3: Heat vegetable oil in a large skillet over medium heat; cook and stir onions in hot oil until caramelized, about 20 minutes. Step4: Mix together curry paste, curry powder, turmeric, cumin, chili powder, salt, sugar, garlic, and ginger in a large bowl; stir into onions. Increase heat to high and cook, stirring constantly, until fragrant, 1 to 2 minutes. Step5: Stir in tomato puree and lentils; cook until warmed through.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8879806.jpg,"2 cups red lentils, 3 cups water, or more as needed, 1 tablespoon vegetable oil, 1 large onion, diced, 2 tablespoons curry paste, 1 tablespoon curry powder, 1 teaspoon ground turmeric, 1 teaspoon ground cumin, 1 teaspoon chili powder, 1 teaspoon salt, 1 teaspoon white sugar, 1 teaspoon minced garlic, 1 teaspoon minced fresh ginger, 1 (14.25 ounce) can tomato puree",10 mins,8,50 mins,2023-07-28T14:51:26Z
https://www.allrecipes.com/chicken-bhuna-recipe-7485475,Chicken Bhuna,40 mins,"Chicken bhuna is a rich Indian curry that&#39;s easy to make with fried onions, fragrant spices, garlic, tomatoes, and chiles for a delicious takeaway meal at home.","Step1: Heat oil in a nonstick pan over high heat. Add onion and salt; cook and stir until onion has softened, about 5 minutes. Step2: Reduce heat to low; stir in garlic and ginger until fragrant. Add hot water; cover, and cook, stirring occasionally, until water has evaporated, about 5 minutes. Step3: Add chili powder, ground coriander, cumin, and turmeric; cook and stir over high heat until spices are toasted, about 5 minutes. Stir in tomatoes and green chiles; cover and cook over low heat for 5 minutes. Step4: Add chicken; cook and stir over high heat until browned, 5 to 7 minutes. Stir in curry paste; reduce heat to low, cover and cook until chicken is cooked through, adding a little water if necessary, about 5 minutes. Check seasoning and sprinkle with freshly chopped cilantro.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F5bb84cb1ba5fc79528bb03e199ce8599%2F1684005768892IMG_6626-2-.JPG,"2 tablespoons vegetable oil, 3 medium onions, finely chopped, 1 1/2 teaspoon salt, divided, 4 cloves garlic, crushed, 1 tablespoon minced fresh ginger, 2 ripe tomatoes, diced, 1 teaspoon chilli powder, 1 teaspoon ground coriander, 1 teaspoon ground cumin, 1/2 teaspoon ground turmeric, 2 green chillies, halved lengthways (optional), 2 skinless, boneless chicken breast halves, cubed, 1 teaspoon mild curry paste (such as Patak’s), fresh coriander leaves, finely chopped",20 mins,4,1 hr,2023-07-28T14:51:58Z
https://www.allrecipes.com/recipe/236564/chana-masala-savory-indian-chick-peas/,Chana Masala (Savory Indian Chick Peas),15 mins,Chana masala is easy to make at home with a fragrant blend of herbs and spices like ginger and chile for a delicious spin on Indian chickpea curry.,"Step1: Grind onion, tomato, ginger, garlic, and chile pepper together in a food processor into a paste. Step2: Heat olive oil in a large skillet over medium heat. Fry bay leaves in hot oil until fragrant, about 30 seconds. Pour the paste into the skillet and cook until the oil begins to separate from the mixture and is golden brown in color, 2 to 3 minutes. Season the mixture with chili powder, coriander, gram masala, turmeric, and salt; cook and stir until very hot, 2 to 3 minutes. Step3: Stir enough water into the mixture to get a thick gravy; bring to a boil and stir chickpeas into the gravy. Reduce heat to medium and cook until the chickpeas are heated through, 5 to 7 minutes. Garnish with cilantro.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9056400.jpg,"1 onion, chopped, 1 tomato, chopped, 1 (1 inch) piece fresh ginger, peeled and chopped, 4 cloves garlic, chopped, or more to taste, 1 green chile pepper, seeded and chopped, 3 tablespoons olive oil, 2 fresh bay leaves, 1 teaspoon chili powder, 1 teaspoon coriander powder, 1 teaspoon garam masala, 0.5 teaspoon turmeric powder, 1 pinch salt to taste, water as needed, 1 (15 ounce) can chickpeas, 1 teaspoon fresh cilantro leaves, for garnish, or more to taste",15 mins,2,30 mins,2023-07-28T14:54:42Z
https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/,Slow Cooker Butter Chicken,4 hrs 15 mins,Butter chicken made with aromatic Indian spices in a rich and creamy curry sauce. An easy slow cooker recipe for a restaurant-worthy meal at home!,"Step1: Heat butter and vegetable oil in a large skillet over medium heat. Stir in chicken, onion, and garlic. Cook and stir until onion has softened and turned translucent, about 10 minutes. Stir in tomato paste, curry paste, curry powder, tandoori masala, and garam masala until no lumps of tomato paste remain. Step2: Pour mixture into a slow cooker; stir in cardamom pods, coconut milk, and yogurt. Season with salt. Step3: Cook on High for 4 to 6 hours (or on Low for 6 to 8 hours) until chicken is tender and sauce has reduced to desired consistency. Remove and discard cardamom pods before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9046929.jpg,"2 tablespoons butter, 2 tablespoons vegetable oil, 4 large skinless, boneless chicken thighs, cut into bite-sized pieces, 1 onion, diced, 3 cloves garlic, minced, 1 (6 ounce) can tomato paste, 1 tablespoon curry paste, 2 teaspoons curry powder, 2 teaspoons tandoori masala, 1 teaspoon garam masala, 15 green cardamom pods, 1 (14 ounce) can coconut milk, 1 cup low-fat plain yogurt, salt to taste",15 mins,6,4 hrs 30 mins,2023-07-28T14:55:09Z
https://www.allrecipes.com/recipe/141169/easy-indian-butter-chicken/,Easy Indian Butter Chicken,45 mins,"This creamy butter chicken recipe combines fragrant spices with simple ingredients like onion, butter, and tomato sauce for a tasty curry dish.","Step1: Preheat the oven to 375 degrees F (190 degrees C). Step2: Melt 2 tablespoons butter in a skillet over medium heat. Stir in onion and garlic, and cook slowly until the onion caramelizes to a dark brown, about 15 minutes. Step3: Meanwhile, combine cream, tomato sauce, remaining butter, salt, cayenne pepper, and garam masala in a saucepan over medium-high heat; bring to a simmer. Reduce heat to medium-low, cover, and simmer, stirring occasionally, for 30 minutes. Stir in caramelized onions. Step4: While the sauce is simmering, toss chicken with vegetable oil until coated. Season with tandoori masala and spread out onto a baking sheet. Step5: Bake chicken in the preheated oven until no longer pink in the center, about 12 minutes. Step6: Add cooked chicken to the sauce and simmer for 5 minutes before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F7f6dac86bb7a98dc6bd59ed9732c5b9b%2F1647189865Screenshot_20220313-124335_Gallery.jpg,"1 cup butter, divided, 1 onion, minced, 1 tablespoon minced garlic, 1 (15 ounce) can tomato sauce, 3 cups heavy cream, 2 teaspoons salt, 1 teaspoon cayenne pepper, 1 teaspoon garam masala, 1.5 pounds skinless, boneless chicken breast, cut into bite-sized chunks, 2 tablespoons vegetable oil, 2 tablespoons tandoori masala",15 mins,6,1 hr,2023-07-28T14:55:27Z
https://www.allrecipes.com/recipe/8467738/green-onion-garlic-naan-bread/,Green Onion Garlic Naan Bread,3 mins,Try this no-yeast garlic naan recipe from Chef John. The addition of green onions as well as garlic add loads of flavor to this quick and easy naans ready in a flash.,"Step1: Place bread flour in a bowl. Add salt and baking powder and give it a good whisk until evenly combined. Step2: Add in Greek yogurt gently, followed by garlic and green onions. Take a wooden spoon and slowly start mixing everything together. Keep mixing, stirring, and pressing until a shaggy dough forms. Step3: Transfer dough to a work surface and use your hands to press dough together. Knead for a few minutes until dough becomes elastic and a little bit sticky. Add a bit more flour as necessary but try to keep extra flour at an absolute minimum. Knead until dough is a little bit stretchy, 3 to 5 minutes. Step4: Wrap in plastic and allow to rest on the counter for 15 to 20 minutes. Step5: Take a bench scraper and cut into 6 equal pieces. Take 1 portion and roll into a ball. Place onto a generously floured surface. Use a rolling pin to roll out nice and thin, about 1/8 inch or less. It&#39;s ok if the naan is not a perfect circle. You will need extra flour for rolling out as the dough is sticky, but try to use as little as possible. Step6: Heat a cast iron skillet over medium-high heat until hot. Transfer dough circles into the hot dry skillet and cook until little bubbles form on the surface and the underside is lightly browned, about 1 minute. Flip naan over and cook for 1 more minute. Press down slightly with a spatula to increase the heat during cooking. Flip over twice more and cook for an additional 15 seconds per side, but make sure not to overcook to preserve the texture. Naan should still be flexible when you remove it from the skillet onto a plate. Step7: Cover with a kitchen towel to keep warm and moist while you cook the other naan breads. Stack all 6 naan breads on top of each other and keep covered with a kitchen towel. Step8: When you are finished cooking all 6 naan breads, unstack breads and brush the first naan bread on both sides with a little bit of melted butter. Stack second piece of naan on top and only brush the top side. Keep stacking and buttering all the naan breads. Fold each naan into a triangle and serve.",https://www.allrecipes.com/thmb/DSYCcxvgGuENz6ExETgzk_8nHT8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Green-Onion-Garlic-Naan-1x1-1-2000-74d1d2d5f5224354990602475103a53d.jpg,"1.5 cups bread flour, plus more as needed, 0.5 teaspoon kosher salt, 2 teaspoons baking powder, 1 cup plain Greek yogurt, 4 cloves garlic, crushed, 0.5 cup thinly sliced green onions, 2 tablespoons melted butter",20 mins,6,38 mins,2023-07-28T14:55:51Z
