url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/247233/roti-canaiparatha-indian-pancake/,Roti Canai/Paratha (Indian Pancake),10 mins,"Roti Canai, an Indian pancake, are easy to make at home using 6 simple ingredients; eat as a snack or with a meal with curry and sambal.","Step1: Mix warm water, salt, and sugar together in a bowl. Put flour in a large mixing bowl; work in 3 1/2 tablespoons ghee using your fingertips. Step2: Beat egg and 1 teaspoon water together in a bowl; add to flour mixture. Gradually mix warm water mixture into flour mixture while kneading until dough becomes soft and pliable. Form dough into balls and let rest in a well-oiled bowl, 2 to 3 hours. Step3: Working on a flat greased surface, take a dough ball and flatten it using the heel of your palm to make a paper-thin circle. Spread 1 teaspoon ghee inside it. Fold the edges together to make roti into a square. Repeat with remaining dough. Step4: Heat about 1 tablespoon ghee on griddle or in a skillet over medium heat; cook roti until browned, 1 to 3 minutes per side.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8674357.jpg,"0.75 cup warm water, 1 teaspoon salt, 1 pinch white sugar, 4.75 cups all-purpose flour, 3.5 tablespoons clarified butter (ghee), 1 egg, 1 teaspoon water, 2 tablespoons ghee (clarified butter), divided",20 mins,8,2 hrs 30 mins,2023-07-28T15:49:12Z
https://www.allrecipes.com/recipe/213686/akki-rotti/,Akki Rotti,10 mins,"Green mung beans, soaked overnight, are mixed with rice flour, coconut, vegetables, and spices in this nutritious breakfast bread, snack, or lunch. Serve with the chutney or pickle of your choice.","Step1: Cover the mung beans with the water and refrigerate overnight. The next day, drain the beans and reserve the soaking water. Step2: In a mixing bowl, combine the mung beans, rice flour, cumin seeds, green chile, asafoetida, cilantro, coconut, shredded carrot, and salt. Gradually add the water, mixing well with your hands to form a workable dough. Use only as much water as needed (about 1/2 cup). Step3: Shape the dough into balls about the size of a tennis ball. Set aside. Flatten one portion of dough into a thin round. Step4: Heat 2 tablespoons of vegetable oil in a griddle or skillet over medium heat. Place the rotti in the oil, and fry until golden brown, about 30 to 40 seconds. Flip the rotti over and fry until golden. Repeat with the remaining dough, adding 2 tablespoons of oil to the griddle for each rotti. Serve hot.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Ffb1c15d7dd4bce9c204d25ec9dc007ba%2F616869.jpg,"0.5 cup green mung beans (green gram), 1 cup water, 2 cups white rice flour, 1 teaspoon cumin seeds, 2.5 teaspoons finely chopped green chile peppers, 0.25 teaspoon asafoetida powder, 2 tablespoons finely chopped fresh cilantro, 0.5 cup unsweetened shredded coconut, 0.25 cup shredded carrot, salt to taste, 0.5 cup vegetable oil, divided",20 mins,4,1 day 50 mins,2023-07-28T15:49:33Z
https://www.allrecipes.com/recipe/283713/aloo-paratha/,Aloo Paratha,45 mins,This traditional Indian aloo paratha (potato stuffed bread) is a definite crowd pleaser as it&#39;s very popular with every age group.,"Step1: Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add potatoes, cover, and steam until tender, 10 to 15 minutes. Remove from the heat. Step2: Heat 1 1/2 teaspoons vegetable oil in a medium skillet over medium heat. Add cumin seeds and cook until light brown, 2 to 3 minutes. Add chile peppers, curry leaves, and ginger; cook and stir for about 1 minute. Add potatoes, turmeric, and salt; cook and stir carefully for about 5 minutes. Step3: Transfer potatoes to a bowl and allow to cool, about 15 minutes. Step4: Place 1/2 cup flour into a shallow bowl. Combine the remaining flour and 1 1/2 teaspoons oil in a large mixing bowl; salt to taste. Mix with your hands while gradually adding water. Knead dough until a smooth ball forms. Divide into 6 evenly round balls. Step5: Roll each dough ball into a thick, circular shape. Form the cooled potato mixture into 6 round balls and place a potato ball on top of each dough circle. Fold all the dough sides over the potato filling to cover. Flatten each stuffed dough slightly while dipping both sides into the bowl of flour. Step6: Roll each dough to a thin, circular shape and set a few inches apart on parchment paper. Step7: Set a large skillet over medium heat and lightly spread with remaining oil. Place a stuffed paratha on the hot skillet and cook for 2 to 3 minutes. Flip over and cook the other side for 2 to 3 minutes. Remove to a serving plate and continue this same process for all the parathas. Serve hot.",https://www.allrecipes.com/thmb/9IGZ7TgACIsrQGB39ReBYJpK8PY=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(539x0:541x2):format(webp)/6324174-c74344d05d0945aebfe6d6a5a7f8ac50.jpg,"3 medium potatoes, peeled and cubed, 4 teaspoons vegetable oil, divided, or as needed, 0.25 teaspoon cumin seeds, 2 green chile peppers, minced, 6 fresh curry leaves, 0.5 teaspoon minced fresh ginger, 1 pinch ground turmeric, or to taste, salt to taste, 5 cups whole wheat flour, divided, 1.25 cups water",25 mins,6,1 hr 25 mins,2023-07-28T15:49:45Z
https://www.allrecipes.com/recipe/17225/roti-bread-from-india/,Roti Bread from India,25 mins,"For durability, this version of roti bread, a delicate Indian flatbread, is made with durum wheat flour (semolina), the kind often used to make pasta.","Step1: Stir flour, water, oil, and salt together in a medium bowl until well combined and pulling away from the sides. Turn dough out onto a well-floured surface and knead until smooth and pliable, about 10 minutes. Step2: Divide dough into 12 equal pieces. Form each piece into a round. Working with one round at a time while all others are covered with a damp cloth, flatten with the palm of your hand, then use a rolling pin to roll into 6- to 8-inch diameter circle. Step3: Heat a dry skillet or tava over medium-high heat. Cook one roti at a time in the hot skillet until golden with some darker brown spots, about 1 minute per side, As it cooks, roll the next roti. Serve warm.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8662518.jpg,"2 cups durum wheat flour, 0.75 cup water, 1 tablespoon vegetable oil, 0.5 teaspoon salt",20 mins,12,45 mins,2023-07-28T15:49:55Z
https://www.allrecipes.com/recipe/262554/best-vegan-naan/,Best Vegan Naan,5 mins,"Try this delicious homemade dairy-free vegan naan bread! A perfect addition to any Indian meal and so versatile, it goes with everything.","Step1: Mix water and sugar in a bowl; whisk until dissolved. Sprinkle yeast over water; let stand until yeast softens and begins to form a creamy foam, about 5 minutes. Step2: Combine flour, salt, baking powder, and baking soda in a separate bowl. Add 4 cups flour mixture, coconut oil, and yogurt to yeast mixture; mix until well combined. Add remaining flour mixture, 1 tablespoon at a time, until dough comes together. Knead until dough is soft and elastic, 3 to 4 minutes. Place dough in a large, lightly oiled bowl and turn to coat. Cover with a towel and let rise in a warm place until doubled in volume, about 1 hour. Step3: Preheat oven to 450 degrees F (220 degrees C). Heat a pizza stone. Step4: Divide dough into 8 pieces on a floured surface. Roll dough slightly and place over parchment paper. Cover with a towel and let rise for 20 minutes. Roll into 8-inch ovals. Transfer to the preheated pizza stone; sprinkle with water and brush with canola oil. Step5: Bake in the preheated oven until golden and puffy, 2 to 3 minutes.",https://www.allrecipes.com/thmb/x9ANWCtd-jD15m6SuQe-ASbJvUU=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2):format(webp)/14565-naan-DDMFS-4x3-5747ec24c933400c93fff60a0dc16741.jpg,"0.5 cup lukewarm water, 2 teaspoons white sugar, 1 tablespoon active dry yeast, 4.5 cups bread flour, 2 teaspoons salt, 1 teaspoon baking powder, 0.25 teaspoon baking soda, 0.25 cup coconut oil, melted, 0.75 cup plain non-dairy yogurt, 2 tablespoons canola oil",25 mins,8,1 hr 55 mins,2023-07-28T15:50:27Z
https://www.allrecipes.com/recipe/15074/naan-bread/,Naan Bread,20 mins,A yeast-raised South Asian flatbread with a delicious chewy texture.,"Step1: Put warm water in a small bowl, add sugar and yeast and stir until dissolved. Set aside for 5-10 minutes or until it foams. Step2: Blend in the warm milk, yogurt and melted margarine. In a large bowl, mix flour, salt, baking powder and poppy seeds. Pour in the yeast/milk mixture all at once and work it into the flour, using your hands. Continue mixing, adding flour or water as needed, until the mixture leaves the sides of the bowl. Step3: Knead for 6 to 8 minutes or until smooth and elastic. Place in a lightly oiled bowl and turn to coat. Cover with a damp cloth and let stand in a warm place to rise for about 4 hours or until doubled in volume. Step4: Preheat oven to 550 degrees F (285 degrees C) or your oven&#39;s highest setting and set a rack in the lower third of the oven. Place a large pizza pan or iron griddle on the rack and preheat. Also preheat the broiler. Step5: Punch the dough down and knead briefly. Divide into six pieces and shape them into balls. Place them on an oiled plate and cover with lightly oiled plastic wrap. Let balls rest for 10 to 15 minutes. Roll out and stretch each ball until it is about 10 inches long and 5 inches wide. Remove the pizza pan from the oven, brush with oil and place one of pieces of bread on it. Step6: Bake at 550 degrees F (285 degrees C) for about 4 to 5 minutes until bread is puffed and has brown spots, then transfer to a wire rack, returning pizza pan to oven to keep hot. Place bread under broiler until &#39;charcoal&#39; dots appear on the surface. Wrap finished bread in a towel while baking the remaining loaves. (If your pizza pan is big enough, try baking two loaves at the time.)",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8344794.jpg,"2 tablespoons warm water (110 degrees F/45 degrees C), 1 teaspoon white sugar, 1 (.25 ounce) package active dry yeast, 0.25 cup warm milk, 0.25 cup plain yogurt, room temperature, 4 tablespoons melted butter, 3 cups unbleached all-purpose flour, 1 teaspoon salt, 0.5 teaspoon baking powder, 0.5 teaspoon nigella seeds (kalonji)",30 mins,6,5 hrs 5 mins,2023-07-28T15:50:37Z
https://www.allrecipes.com/recipe/7021/indian-naan-ii/,Indian Naan II,25 mins,"Pan-fried naan is delicious, but this rendition that&#39;s brushed with ghee and kalonji and cooked under the broiler is just as good with any Indian dish.","Step1: Whisk warm water with yeast and sugar until yeast is dissolved. Cover and let stand in a warm place for 10 minutes. Step2: Sift flour and salt three times into a large bowl. Add yeast mixture, yogurt, and 1/2 of the ghee. Mix into a soft dough, then knead on a floured surface until dough is smooth and elastic, about 5 minutes. Place dough into a large greased bowl, cover, and let stand in a warm place for 1 1/2 hours or until doubled in volume. Step3: Punch down dough, then knead for 5 minutes. Divide dough into six equal pieces. Roll each piece out into 8-inch rounds. Step4: Cover an oven tray with foil and grease the foil. Brush dough rounds with remaining ghee and sprinkle with kalonji. Cook one at a time under the broiler until puffed and lightly browned, about 2 minutes per side.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9288946.jpg,"0.66666668653488 cup warm water (110 degrees F/45 degrees C), 1 teaspoon active dry yeast, 1 teaspoon white sugar, 2 cups all-purpose flour, 1 teaspoon salt, 2 tablespoons plain yogurt, 0.25 cup ghee, 2 teaspoons kalonji (onion seed)",30 mins,6,2 hrs 35 mins,2023-07-28T15:51:01Z
https://www.allrecipes.com/recipe/210477/ada-adai/,Ada (Adai),30 mins,Try these crepe-like items for an Indian-style breakfast made with lentils and rice.,"Step1: Place the chana dal, urad dal, moong dal, and rice into a large bowl and cover with several inches of cool water; allow to soak 8 hours to overnight. Step2: Grind the soaked dal and rice with the salt and red chile peppers into a paste using a mortar and pestle. Add enough water to the mixture to make a batter just thin enough to spread. Stir the cumin seeds into the batter. Step3: Heat a griddle (or a tawa) over medium heat. Gently grease the griddle with oil on the edges and the middle. Ladle the batter on the tawa and spread into a thin circle using the back of the ladle or a large spoon. Cook for a few minutes and flip over to the other side. Cook a few more minutes, transfer to a plate, and serve immediately. Adas are best eaten hot off the griddle.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9083589.jpg,"1 cup split Bengal gram (chana dal), 1 cup skinned split black lentils (urad dal), 0.5 cup split yellow lentils (moong dal), 1 cup rice, salt to taste, 2 dried red chile peppers, or to taste, water, as needed, 2 tablespoons cumin seeds, 2 tablespoons cooking oil",20 mins,15,8 hrs 50 mins,2023-07-28T15:51:19Z
https://www.allrecipes.com/recipe/210480/pesarattu/,Pesarattu,30 mins,Pesarattu is a crepe-like flatbread made with a batter made of rice and lentils.,"Step1: Place the lentils and rice into a large container and cover with several inches of cool water; let stand 4 hours to overnight. Step2: Blend the lentils, rice, green chile peppers, and ginger together into a smooth paste using a blender or food processor. Stir the cumin seed and salt into the paste. Step3: Prepare a flat griddle (tawa) or large, flat-bottomed skillet and place over medium-low heat. Ladle the lentil batter onto the middle of the heated surface and spread into a thin circle using the back of the ladle. Sprinkle with 1 tablespoon of onions and press the onions onto the pesarattu using your ladle or spatula. Cook for a few minutes and flip over to the other side. Cook a few more minutes, transfer to a plate and serve immediately. Dosas are best eaten hot and crispy right off the tawa.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Fd16de83d4a3a2143cada9ee5a931ffb7%2F1360063.jpg,"2 cups skin-on, whole green lentils (sabut moong dal), 1 cup uncooked white rice, 5 green chile peppers, 1 (1/2 inch) piece fresh ginger root, peeled, 1 tablespoon cumin seeds, salt to taste, cooking spray, 6 tablespoons chopped onion",20 mins,6,4 hrs 50 mins,2023-07-28T15:51:34Z
https://www.allrecipes.com/recipe/36163/whole-wheat-chapati/,Whole Wheat Chapati,2 mins,"Similar to a wheat pita, it is bread made of whole wheat flour. I make it for my diabetic husband all the time. Serve these with your favorite fish or vegetable dish.","Step1: Sift together flour and salt in a bowl. Stir in olive oil and water, and then knead until firm and elastic. Divide into four balls, and roll as flat as possible with a rolling pin. Step2: Heat a frying pan over medium-high heat. Cook the chapati on both sides until golden brown, about 1 minute per side. If desired, sprinkle with additional olive oil before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F144295.jpg,"1 cup whole wheat flour, 1 pinch salt, 1 tablespoon olive oil, 0.25 cup water",10 mins,4,12 mins,2023-07-28T15:51:59Z
