url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/259032/serenas-strawberry-lassi/,Serena&#39;s Strawberry Lassi,5 mins,"This is an absolutely delicious, refreshing Indian yogurt drink with fresh strawberries. It is so tasty that it is almost like a dessert.","Step1: Combine yogurt, strawberries, ice, and sugar in a blender. Blend until smooth.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F643195ff00492a93f03ea8248f8cd7d5%2F4537180.jpg,"2 cups plain whole-milk yogurt, 2 cups strawberries, 1 cup ice, 0.5 cup white sugar",5 mins,2,5 mins,2023-07-28T16:35:37Z
https://www.allrecipes.com/recipe/20435/indian-lassi/,Indian Lassi,15 mins,"Learn what a lassi drink is with this basic recipe made with yogurt, cold water, sugar, and salt, served with lots of ice for a refreshing beverage.","Step1: Fill 6 tall glasses with ice cubes. Place yogurt, ice water, crushed ice, sugar, and salt in a blender; blend until frothy. Pour over ice cubes in the glasses to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F6ecda729f0ffb26ffb5a9e7801b87f28%2F1663965703Indian%2520Lassi.jpg,"ice cubes, 1.75 cups plain yogurt, 1.5 cups ice water, 6 cubes ice, crushed, 2 teaspoons white sugar, 1 pinch salt",15 mins,6,15 mins,2023-07-28T16:36:25Z
https://www.allrecipes.com/recipe/32680/chai-tea/,Chai Tea,5 mins,"This delightfully spiced tea uses cardamom, cinnamon and pepper for flavor.","Step1: In a saucepan, bring water to a boil. Add the tea bags, cardamom seeds, cinnamon, and black pepper, then return to a boil. Immediately stir in sugar. Step2: Remove pot from heat and let stand for 5 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1762157.jpg,"1.5 quarts water, 4 black tea bags, 10 whole cardamom seeds, 2 cinnamon stick, broken in half, 1 teaspoon black peppercorns, 3 tablespoons white sugar",5 mins,6,10 mins,2023-07-28T16:38:38Z
https://www.allrecipes.com/recipe/222513/chai-tea-latte/,Chai Tea Latte,5 mins,"Make your own milky chai tea lattes with this homemade recipe that uses boiling water, milk, sugar, honey, and a chai tea bag. Delicious hot or iced!",Step1: Pour boiling water over chai tea bag in a mug; let steep 4 to 6 minutes. Remove and discard tea bag. Step2: Stir honey and sugar into tea to dissolve. Stir milk through tea to serve.,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0bea9aae981bbb6bc83e4bfaab3b8a00%2F168104633592420230409_090248.jpg,"0.75 cup boiling water, 1 chai tea bag, 1.5 teaspoons honey, 1 teaspoon white sugar, 0.75 cup milk",5 mins,1,5 mins,2023-07-28T16:39:38Z
https://www.allrecipes.com/recipe/143442/railroad-style-chai/,Railroad-Style Chai,5 mins,"No need to ride the rails in India to get the distinctive spiced tea served there. Use black tea, fennel, cardamom, and cloves to enjoy from home.","Step1: Bring water to a boil in a saucepan; add fennel, cloves, and cardamom. Continue boiling water for 3 minutes. Step2: Stir milk into the water and return mixture to a low boil; add tea bags, reduce heat to low, and boil until the tea has a strong, but not bitter flavor, 2 to 3 minutes. Step3: Strain tea into 4 tea mugs; sweeten with sugar to individual tastes.",https://www.allrecipes.com/thmb/8lVdAnKy6hBi1dR5eK5KGMJqKwM=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2):format(webp)/AR_FF_chipotle_rice43-76294ac8faf248bcac054653c04e75c2.jpg,"2 cups water, 1 tablespoon fennel seed, 4 whole cloves, or more to taste, 1.5 teaspoons cardamom seeds, 2 cups whole milk, 4 black tea bags, or more to taste, 1 tablespoon white sugar, or to taste",5 mins,4,10 mins,2023-07-28T16:40:18Z
https://www.allrecipes.com/recipe/32620/mango-lassi-ii/,Mango Lassi II,5 mins,"This creamy, smooth mango lassi is made with yogurt and mango and is absolutely heavenly.","Step1: In a blender, combine mangos, yogurt, sugar and ice. Blend until smooth. Pour into glasses and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9106878.jpg,"2 mangos - peeled, seeded and diced, 2 cups plain yogurt, 0.5 cup white sugar, 1 cup ice",5 mins,2,5 mins,2023-07-28T16:40:53Z
https://www.allrecipes.com/recipe/58982/masala-chai/,Masala Chai,5 mins,"This chai is hot and flavorful thanks to its use of cardamom, clove, and peppercorn—gotta love it!","Step1: Combine the water and sugar in a small saucepan, and bring to a boil. Add the cardamom pod, clove, peppercorns and tea leaves. Remove from heat, and let the mixture steep for 2 to 3 minutes. Strain into a cup, and fill cup the rest of the way with milk. Sit back, relax, and enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F492542.jpg,"1 cup water, 1.5 teaspoons sugar, 1 whole cardamom pod, 1 whole clove, 2 black peppercorns, 3 teaspoons black tea leaves, 0.5 cup warm milk",5 mins,1,10 mins,2023-07-28T16:41:06Z
https://www.allrecipes.com/recipe/183664/mango-mint-lassi-with-indian-sweet-spices/,Mango-Mint Lassi with Indian Sweet Spices,15 mins,Mint and mango are joined by star anise and cardamom in this refreshing Indian yogurt drink.,"Step1: Blend the mango, brown sugar, chopped mint, star anise, cardamom, lime juice, and yogurt in a blender on high speed until smooth. Pour into glasses and garnish with fresh mint sprigs to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F451101.jpg,"1 large mango - peeled, seeded, and diced, 3 tablespoons brown sugar, 2 tablespoons chopped fresh mint, 1 teaspoon freshly ground star anise, 1 teaspoon freshly ground cardamom, 1 tablespoon lime juice, 2 cups plain yogurt, 3 sprigs fresh mint for garnish",15 mins,3,15 mins,2023-07-28T16:41:26Z
https://www.allrecipes.com/recipe/238362/banana-lassi/,Banana Lassi,10 mins,"If you don&#39;t have any mango on hand, why not substitute in a banana to make a creamy banana lassi to go with your Indian food?","Step1: Blend bananas, yogurt, milk, ice cubes, and sugar together in a blender until smooth.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8629249.jpg,"2 over-ripe bananas, broken into chunks, 1.25 cups thick plain yogurt, 0.33333334326744 cup milk, or more to taste, 2 ice cubes, 2 tablespoons white sugar",10 mins,2,10 mins,2023-07-28T16:42:00Z
https://www.allrecipes.com/recipe/219292/hot-coffee-masala/,Hot Coffee Masala,5 mins,"This warming, spicy coffee drink contains interesting Asian spices, giving it a chai-like flavor.","Step1: In a saucepan, bring the water to a boil, and stir in the cumin seeds, star anise pod, and cinnamon stick; reduce heat to a simmer, and cook for 3 minutes, stirring occasionally. Stir in the instant coffee, and allow the drink to simmer gently for 2 more minutes. Pour the drink into mugs, straining out the spices, and stir 1 teaspoon of nonfat dry milk powder and 1 teaspoon of white sugar into each mug.",https://www.allrecipes.com/thmb/Xht0lKKadHKQwMUv7rhHKX4p4Pw=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(2258x1743:2260x1745):format(webp)/7497387-chickpea-tikka-masala-ddmfs_4x3_1791-e0838138030a4b55ac7340027bc2b47f.jpg,"2 cups water, 2 cumin seeds, or to taste, 1 whole star anise pod, 0.5 cinnamon stick, 1.5 teaspoons instant coffee granules, 2 teaspoons nonfat dry milk powder, 2 teaspoons white sugar",5 mins,2,10 mins,2023-07-28T16:44:41Z
