url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/165102/budin-puerto-rican-bread-pudding/,Budin (Puerto Rican Bread Pudding),1 hr 30 mins,Budin is a traditional anise-flavored Puerto Rican bread pudding. This recipe was provided by a friend and meant to be shared. Try this tasty dessert.,"Step1: Bring 1 cup water to a boil in a small saucepan over high heat. Add cinnamon sticks, cloves, and anise seed. Cover and set aside to steep for 15 minutes. Step2: Meanwhile, combine 1/2 cup sugar and 2 tablespoons water in a saucepan over medium-high heat. Stir occasionally to dissolve sugar completely, but stop stirring once the mixture comes to a boil. Stay near the stove to monitor the color, swirling the pan gently to redistribute the sugar as the caramel begins to darken. Cook to about 310 degrees F (160 degrees C), or until the sugar turns light golden brown, then pour into a 9x5-inch loaf pan. Set aside to allow caramel to harden. Step3: Preheat the oven to 350 degrees F (175 degrees C). Step4: Remove crust from day-old bread, tear bread into cubes, and place into a large mixing bowl. Strain spice tea through a fine mesh sieve to remove spices. Add to bread along with evaporated milk. Stir to evenly moisten and set aside for 10 minutes. Step5: While the bread mixture sits, whisk eggs in a large mixing bowl along with remaining 1 1/2 cups sugar, vanilla, salt, and melted butter. Stir in moistened bread mixture until evenly mixed. Pour into the loaf pan over the caramel. Step6: Line a roasting pan with a damp kitchen towel. Place the loaf pan on the towel, inside the roasting pan, and place roasting pan on oven rack. Fill the roasting pan with boiling water to reach halfway up the sides of the loaf pan. Step7: Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour and 15 minutes. Step8: Cool in the pan for about an hour, then refrigerate until cold, 2 hours more. Step9: When ready, invert the budin onto a serving plate. The caramel will have turned to syrup and will cover the budin like a sauce.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fd048b59218bb0d793910418206461b53%2F16699526882232B4D75C6-C72A-4438-87F7-BEE2292B1B25.jpeg,"1 cup water, 2 (3 inch) cinnamon sticks, 15 whole cloves, 1 teaspoon anise seed, 2 cups white sugar, divided, 2 tablespoons water, 1 (1 pound) loaf day-old bread, 4 cups evaporated milk, 4 large eggs, 1 teaspoon vanilla extract, 0.75 teaspoon salt, 0.25 cup butter, melted",30 mins,10,5 hrs,2023-07-08T09:34:02Z
https://www.allrecipes.com/recipe/69960/hasty-chocolate-pudding/,Hasty Chocolate Pudding,5 mins,"This easy chocolate pudding recipe is quick to make in the microwave with sugar, cocoa powder, cornstarch, milk, and vanilla in less than 10 minutes.","Step1: Whisk together sugar, cocoa, and cornstarch in a microwave-safe bowl. Whisk in milk, a little at a time, until no dry lumps remain. Step2: Cook in the microwave on high for 3 minutes. Stir well. Continue cooking and stirring at 1-minute intervals until shiny and thick, 2 to 4 minutes. Mix in vanilla. Step3: Press a piece of plastic wrap directly on surface of pudding to prevent skin from forming. Place in the refrigerator to chill. Serve cold.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ff269d6cb1c7f2b5d380bbf4509085991%2F1683774567368image.jpg,"0.5 cup white sugar, 0.33333334326744 cup unsweetened cocoa powder, 3 tablespoons cornstarch, 2 cups milk, 2 teaspoons vanilla extract",5 mins,4,10 mins,2023-07-08T09:34:37Z
https://www.allrecipes.com/recipe/264229/almond-milk-instant-pudding/,Almond Milk Instant Pudding,5 mins,This instant vanilla pudding with almond milk comes together in a matter of minutes for the perfect dairy-free sweet treat or delicious dessert.,"Step1: Pour 1 cup almond milk into a small saucepan. Add cornstarch and heat over medium heat. Cook, stirring constantly, until bubbly, 3 to 5 minutes. Remove from heat; keep stirring for 30 seconds. Step2: Pour remaining almond milk into a bowl; add pudding mix. Mix with an electric mixer on low speed until very thick, about 1 minute. Add cornstarch mixture to pudding mixture; mix at low speed for 1 minute more. Step3: Transfer pudding to 4 individual serving bowls. Cover and refrigerate if desired.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F5a398d3f67eb579364d1c5da7b4cd02c%2F7507440.jpg,"2 cups almond milk, divided, 1 (3.5 ounce) package instant vanilla pudding mix, 2 teaspoons cornstarch",5 mins,4,10 mins,2023-07-08T09:35:47Z
https://www.allrecipes.com/recipe/232887/baked-pumpkin-custard-from-eagle-brand/,Baked Pumpkin Custard from EAGLE BRAND,35 mins,"These pumpkin custards are smooth, creamy, and full of holiday flavor. Your guests can satisfy their pumpkin cravings with these individual desserts.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Whisk eggs together in a large bowl. Stir in pumpkin and pumpkin pie spice until blended. Whisk in condensed milk, milk, vanilla, and salt until blended. Pour into six 6-ounce custard cups. Step3: Place custard cups in a 9x13-inch baking dish. Place the dish on the center rack in the middle of the preheated oven. Pour boiling water into the pan around custard cups to a depth of 1 1/4 inches. Step4: Bake until the centers are almost set, about 35 minutes. Step5: Remove custard cups from the baking dish and set on a wire rack to cool. Serve warm or cold. Step6: Top with whipped cream and sprinkle with cinnamon just before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7386689.jpg,"3 large eggs, 1 cup 100% pure pumpkin, 1.5 teaspoons pumpkin pie spice, 1 (14 ounce) can EAGLE BRAND® Sweetened Condensed Milk, 1.3333333730698 cups whole milk, 1 teaspoon vanilla extract, 0.25 teaspoon salt, 0.5 cup whipped cream, or to taste, 1 pinch ground cinnamon, or to taste",15 mins,6,50 mins,2023-07-08T09:35:56Z
https://www.allrecipes.com/recipe/44497/baked-flan/,Baked Flan,1 hr,"This flan is baked in a water bath to achieve a deliciously silky texture. It&#39;s quick and easy to prepare in a blender, and great served warm or cold.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Heat sugar in a small nonstick saucepan over medium heat until completely dissolved; shake and swirl the pan until sugar has caramelized and is a dark golden brown color; pour into a 1 1/2-quart baking dish, and swirl to coat the bottom of the dish evenly. Step3: Combine cream, condensed milk, eggs, milk, and vanilla in a blender; blend on high for one minute. Pour mixture over caramelized sugar. Step4: Place the baking dish into a deep roasting pan; pour in enough boiling water to come 1 inch up the sides of the dish. Step5: Bake in preheated oven until flan is set, 50 to 60 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F59e970b2fce15e358cf5dd3d0c7d997b%2F1680671324107IMG_20230405_101805-2.jpg,"0.66666668653488 cup white sugar, 2 cups heavy cream, 1 (14 ounce) can sweetened condensed milk, 5 large eggs, 1 cup milk, 2 teaspoons vanilla extract",20 mins,8,1 hr 20 mins,2023-07-08T09:36:09Z
https://www.allrecipes.com/recipe/214083/sweet-rice/,Sweet Rice Pudding,35 mins,"Sweet rice, known as arroz con leche, is a lovely custard-like Mexican rice pudding with raisins, lightly flavored with cream, vanilla, and cinnamon.","Step1: Bring water, rice, and butter to a boil in a large saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender and liquid is absorbed, 20 to 25 minutes. Step2: Whisk together 2 cups milk, sugar, egg, flour, and vanilla in a bowl; pour over cooked rice in the saucepan and stir to combine. Bring to a simmer over low heat and cook, stirring occasionally, for 15 minutes. Step3: Stir in remaining 1 cup milk, cream, raisins, and cinnamon until thoroughly mixed. Let cool for a few minutes. Serve warm or cold.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F8742ec0eea93b347b9a316a22a58b279%2F1659721671image.jpg,"2 cups water, 1 cup uncooked long-grain white rice, 2 tablespoons unsalted butter, 3 cups whole milk, divided, 0.33333334326744 cup white sugar, 1 large egg, 1 tablespoon all-purpose flour, 1.5 teaspoons vanilla extract, 0.66666668653488 cup heavy cream, 0.5 cup raisins, 0.5 teaspoon ground cinnamon",10 mins,6,45 mins,2023-07-08T09:36:27Z
https://www.allrecipes.com/recipe/223415/dirt-pudding/,Dirt Pudding,30 mins,"This dirt pudding is a simple, kid-friendly dessert made with a cream cheese-vanilla pudding, whipped topping, and chocolate sandwich cookie crumbs.","Step1: Whisk milk and pudding mix in a large bowl until softly set, about 2 minutes. The pudding will thicken as it stands. Step2: Beat confectioners&#39; sugar, cream cheese, and butter in a separate bowl until smooth and creamy. Stir cream cheese mixture into pudding until thoroughly combined; gently fold in frozen whipped topping. Step3: Place 1/2 of the cookie crumbs into the bottom of a 9x12-inch dish; spread evenly. Cover cookie crumbs with pudding mixture and top with remaining crumbs, covering completely. Step4: Chill for at least 30 minutes before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9377466.jpg,"3 cups milk, 2 (3.5 ounce) packages instant French vanilla pudding mix, 1 cup confectioners' sugar, 1 (8 ounce) package cream cheese, softened, 0.25 cup butter, softened, 1 (12 ounce) container frozen whipped topping, thawed, 1 (14 ounce) package chocolate cream-filled sandwich cookies, crushed (divided)",15 mins,12,45 mins,2023-07-08T09:37:28Z
https://www.allrecipes.com/recipe/19165/creme-brulee/,Caremel special Pudding,30 mins,"Caremel Special Pudding  is a smooth and creamy custard topped with crisp, caramelized sugar. A simple but elegant dinner party dessert that&#39;s sure to impress!","Step1: Preheat the oven to 300 degrees F (150 degrees C). Step2: Whisk egg yolks, 4 tablespoons white sugar, and vanilla extract in a mixing bowl until thick and creamy; set aside. Step3: Pour cream into a saucepan and stir over low heat until it almost comes to a boil. Step4: Whisk cream into egg yolk mixture; beat until combined. Step5: Pour mixture into the top pan of a double boiler. Stir over simmering water until mixture lightly coats the back of a spoon, about 3 minutes. Step6: Pour into a shallow heat-proof dish. Step7: Bake in the preheated oven until custard is set, about 30 minutes. Let cool to room temperature, then refrigerate until chilled, at least 1 hour or overnight. Step8: Turn the oven to broil. Step9: Combine remaining 2 tablespoons white sugar and brown sugar in a small bowl. Sprinkle mixture evenly over custard. Step10: Place dish under the broiler until sugar melts and caramelizes, about 2 minutes. Watch carefully so as not to burn. Step11: Allow to cool slightly, then refrigerate until custard is set again, about 10 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F62112dd60c3ddc2d90c2d69ec106121a%2F1660100854image.jpg,"6 egg yolks, 6 tablespoons white sugar, divided, 0.5 teaspoon vanilla extract, 2.5 cups heavy cream, 2 tablespoons brown sugar",10 mins,5,1 hr 50 mins,2023-07-08T09:37:43Z
https://www.allrecipes.com/recipe/228474/rice-cooker-rice-pudding/,Rice Cooker Rice Pudding,20 mins,"Cook rice pudding in a rice cooker in under 30 minutes with four simple ingredients: milk, rice, sugar, and cinnamon, then chill and serve it cold.","Step1: Stir 5 1/2 cups milk, rice, sugar, and cinnamon together in a rice cooker. Cover and cook for one cycle until tender and creamy, about 20 minutes. Stir in remaining 2 1/2 cups milk. Step2: Transfer to a bowl and let cool to room temperature, about 30 minutes. Cover and refrigerate for 1 to 2 hours before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F013e9682248a48d00237d72b389054f8%2F6516372.jpg,"8 cups skim milk, divided, 2 cups short-grain white rice, 1 cup white sugar, 0.5 teaspoon ground cinnamon","Stir 5 1/2 cups milk, rice, sugar, and cinnamon together in a rice cooker. Cover and cook for one cycle until tender and creamy, about 20 minutes. Stir in remaining 2 1/2 cups milk.",8,1 hr 50 mins,2023-07-08T09:37:58Z
https://www.allrecipes.com/recipe/216068/mud-and-worms/,Mud and Worms Pudding,5 mins,"Dirt and worms is a tasty bowl of chocolate mud pudding with candy worms sticking out — perfect for Halloween, and so easy even the kids can make it.","Step1: Place cookies into a resealable plastic bag and crush with a rolling pin into crumbs. Step2: Whisk together pudding mix with milk in a bowl, stirring for 2 minutes. Step3: Sprinkle about 1/3 of the crushed cookie crumbs into the bottom of a serving bowl and spoon chocolate pudding over crumbs. Smooth out the top of the pudding, then top with the rest of the chocolate cookie crumbs to resemble dirt. Step4: Poke gummy worms halfway into the dirt. Refrigerate until serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7757282.jpg,"12 chocolate cream-filled sandwich cookies, 1 (3.9 ounce) package instant chocolate pudding mix, 2 cups milk, 1 (3 ounce) package gummy worms candy",10 mins,4,15 mins,2023-07-08T09:38:20Z
