url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/218331/caramel-popcorn-with-marshmallow/,Caramel Popcorn with Marshmallow,15 mins,Marshmallows make this caramel popcorn stay soft and grand!,"Step1: Cook and stir the marshmallows, brown sugar, corn syrup, butter, and vanilla extract together in a pot over medium-low heat until the marshmallows are completely melted, 5 to 7 minutes. Step2: Put the popcorn in a large bowl; pour the marshmallow mixture over the popcorn and gently stir with a big spoon to coat.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9339500.jpg,"23 large marshmallows, 2 cups brown sugar, 0.25 cup light corn syrup (such as Karo®), 1 cup butter, 1 teaspoon vanilla extract, 2 (3.5 ounce) packages microwave popcorn, popped",5 mins,8,20 mins,2023-07-08T09:51:10Z
https://www.allrecipes.com/recipe/11365/caramel-cups/,Caramel Cups,15 mins,"These cute caramel cups have a rich, flaky crust and a sweet caramel filling. This recipe makes 4 dozen bite-sized treats — perfect for a party!","Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Combine cream cheese, butter, and flour; mix to form a dough. Pinch off 48 equal pieces and press into mini tassie pans. Step3: Bake in the preheated oven for 15 minutes or until lightly brown. Cool slightly, then carefully remove from the pans as they can break easily. Step4: Melt caramels and 1/2 cup evaporated milk in a microwave-safe bowl in the microwave on medium-high heat. Stir until creamy. Pour melted caramel into shells and top with frosting. Step5: To make the frosting: Beat sugar, 1/3 cup evaporated milk, shortening, and vanilla until light and creamy.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Fada5dfd750cff5bfe86349b030ff62a9%2F4301544.jpg,"6 ounces cream cheese, 2 cups all-purpose flour, 1 cup butter, 1 (14 ounce) package individually wrapped caramels, 0.5 cup evaporated milk, 0.5 cup white sugar, 1 cup shortening, 0.33333298563957 cup evaporated milk, 1 teaspoon vanilla extract",30 mins,48,45 mins,2023-07-08T09:51:22Z
https://www.allrecipes.com/recipe/139187/caramel-grapes/,Caramel Grapes,10 mins,"Also called &#39;burnt grapes&#39;, this recipe may sound different but once you try it, I guarantee you&#39;ll be making it again and again. Delicious! You can double the caramel sauce if you like things extra sweet.","Step1: In a large bowl, mix together sour cream, confectioner&#39;s sugar and vanilla. Stir in grapes. Set aside. Step2: In a medium saucepan, combine butter and brown sugar. Stir constantly and cook over medium heat until mixture starts to thicken. It does not need to boil. Step3: Pour brown sugar and butter over grape mixture and stir until well blended. Chill for at least 2 hours before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F0a6f4463d339231f5d472f26102065e3%2F1202036.jpg,"2 cups sour cream, 0.5 cup confectioners' sugar, 2 tablespoons vanilla extract, 5 cups green seedless grapes, 1 cup butter, 1 cup brown sugar",5 mins,12,2 hrs 15 mins,2023-07-08T09:51:35Z
https://www.allrecipes.com/recipe/24956/caramels-i/,Caramels I,45 mins,"Sugar, corn syrup, cream, butter and vanilla are the ingredients in these traditional caramel candies.","Step1: Butter a 9x13 inch dish. Step2: In a heavy saucepan, combine sugar, corn syrup, 1 cup cream and butter. Bring to a boil, stirring often, then stir in remaining 1 cup cream. Heat, without stirring, to 242 degrees F (116 degrees C), or until a small amount of syrup dropped into cold water forms a firm but pliable ball. Remove from heat, stir in vanilla, and pour into prepared dish. Refrigerate. Step3: When cool, return candies to room temperature then cut into 1 inch squares and wrap in waxed paper.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2Fb31a09f1f185f9cfa09226ce199fba3d%2F7301104.jpg,"2 cups white sugar, 1.5 cups corn syrup, 2 cups heavy cream, 1 cup butter, 1 teaspoon vanilla extract",45 mins,117,1 hr 30 mins,2023-07-08T09:51:47Z
https://www.allrecipes.com/recipe/77782/warm-flourless-chocolate-cake-with-caramel-sauce/,Warm Flourless Chocolate Cake with Caramel Sauce,45 mins,A rich complex bittersweet chocolate cake with a caramel sauce which is simple to make and always loved by all.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Butter the bottom of a 10 inch springform pan, and line with parchment paper. Step2: Melt the butter in a large saucepan over low heat. Stir in chocolate, and continue to stir until almost melted. Remove from heat, and stir until melted and smooth. In a large bowl, stir together 1 1/4 cups sugar and the cocoa powder. Whisk in the eggs until well blended, then whisk in the chocolate and butter. Pour the batter into the prepared pan. Step3: Bake for about 45 minutes in the preheated oven. The cake is ready when the edges have nicely puffed and the surface is firm except for a small spot in the center that will jiggle when the pan is gently shaken. Cool cake in the pan over a wire rack. Run a knife around the sides of the pan to loosen the cake, then remove the sides of the pan, and invert onto a serving plate. Remove the parchment paper. Step4: In a heavy saucepan, stir together 1 1/2 cups of sugar, water, and lemon juice. Bring to a boil over medium heat, and cook without stirring until the syrup is a deep amber color. For an accurate color check, dip a metal spoon into the syrup and lift it out of the pan to check the color. Once the syrup is amber, remove from the heat. Gradually stir in the cream. The mixture will bubble vigorously. If lumps form, stir gently over low heat to dissolve them. Stir in 2 tablespoons of butter. Step5: Cut the cake into wedges while warm, and serve with caramel sauce spooned over it. You can also chill the cake and sauce, then warm again before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F80416.jpg,"1 cup butter, cubed, 8 ounces semisweet chocolate, chopped, 1.25 cups white sugar, 1 cup unsweetened cocoa powder, 6 eggs, 1.5 cups white sugar, 0.25 cup water, 1.5 teaspoons fresh lemon juice, 1 cup heavy cream, 2 tablespoons unsalted butter",15 mins,12,1 hr,2023-07-08T09:51:55Z
https://www.allrecipes.com/recipe/73761/microwave-caramel-popcorn/,Microwave Caramel Popcorn,10 mins,"Microwave caramel popcorn is easy to make at home with this recipe. It&#39;s sweet, salty, and so delicious — you won&#39;t be able to stop eating it!","Step1: Place popped popcorn into a large brown paper bag. Step2: Combine brown sugar, margarine, corn syrup, vanilla, and salt in a microwave-safe bowl or dish. Microwave for 3 minutes, then stir until well blended. Microwave for another 1 1/2 minutes. Step3: Remove brown sugar mixture from the microwave and stir in baking soda. Pour over popcorn in the bag; fold the top edge of the bag once or twice to close, then shake to coat popcorn. Step4: Place the bag into the microwave and cook for 70 seconds. Shake the bag, flip over, and cook for 70 seconds more. Step5: Pour popcorn out onto waxed paper and let cool until coating is set, 3 to 5 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0450b39c71032bc7bb8253d95910896d%2F167494236969916749423608044084199497411031070.jpg,"4 quarts popped popcorn, 1 cup brown sugar, 0.5 cup butter or margarine, 0.25 cup light corn syrup, 1 teaspoon vanilla extract, 0.5 teaspoon salt, 0.5 teaspoon baking soda",5 mins,16,20 mins,2023-07-08T09:52:14Z
https://www.allrecipes.com/recipe/213103/banana-pound-cake-with-caramel-glaze/,Banana Pound Cake With Caramel Glaze,1 hr 30 mins,A sweet caramel glaze is soaked up by this rich banana cake with pecans in every bite.,"Step1: Preheat an oven to 325 degrees F (165 degrees C). Combine flour, baking powder, baking soda, and salt in a bowl. Set aside. Grease and flour a fluted tube pan. Step2: Beat 1 cup of butter, shortening, 2 cups of brown sugar, and 1 cup of white sugar with an electric mixer in a large bowl until light and fluffy. The mixture should be noticeably lighter in color. Add the bananas, followed by the eggs one at a time, allowing each egg to blend into the butter mixture before adding the next. Beat in 2 teaspoons of vanilla extract with the last egg. Pour in the flour mixture alternately with the milk, mixing until just incorporated. Fold in the pecans; mixing just enough to evenly combine. Pour the batter into prepared pan. Step3: Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 1 hour and 20 minutes. Step4: Meanwhile, prepare the glaze. Heat 1/2 cup of butter, 1/4 cup of brown sugar, 1/4 cup of white sugar, 1 teaspoon of vanilla extract, and heavy cream in a saucepan over medium heat. Stir continuously until the sugars have dissolved, then gently simmer for 1 minute. Pour over baked cake while still in the pan. Cool in the pan for 10 minutes before removing to cool completely on a wire rack.",https://www.allrecipes.com/thmb/_97cNOEKPnooMBWFlfqj-qDKW_E=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/about_us_2-a0bff420cbd04abc9bfc18dba2a21f8f.jpeg,"3 cups all-purpose flour, 0.5 teaspoon baking powder, 0.5 teaspoon baking soda, 1 teaspoon salt, 1 cup butter, 0.5 cup vegetable shortening, 2 cups brown sugar, 1 cup white sugar, 4 ripe bananas, mashed, 5 eggs, 2 teaspoons vanilla extract, 0.5 cup milk, 1 cup chopped pecans, 0.5 cup butter, 0.25 cup brown sugar, 0.25 cup white sugar, 1 teaspoon vanilla extract, 0.25 cup heavy cream",30 mins,14,4 hrs,2023-07-08T09:52:30Z
https://www.allrecipes.com/recipe/93109/gourmet-caramel-apples/,Gourmet Caramel Apples,45 mins,Caramel apples are dipped in melted milk chocolate and drizzled with colored candy melts to make them festive for any season!,"Step1: Bring a large pot of water to a boil. Dip apples into boiling water briefly, using a slotted spoon, to remove any wax that may be present. Wipe dry, and set aside to cool. Insert sticks into the apples through the cores. Step2: Line a baking sheet with waxed paper and coat with cooking spray. Place the unwrapped caramels into a microwave-safe medium bowl along with 2 tablespoons of water. Cook on high for 2 minutes, then stir and continue cooking and stirring at 1 minute intervals until caramel is melted and smooth. Step3: Hold apples by the stick, and dip into the caramel to coat. Set on waxed paper; refrigerate for about 15 minutes to set. Step4: Heat the chocolate with 1 tablespoon of shortening in a microwave-safe bowl until melted and smooth. Dip apples into the chocolate to cover the layer of caramel. Return to the waxed paper to set. Step5: Melt the candy melts in the microwave with the remaining shortening, stirring every 30 seconds until smooth. Use a fork or wooden stick to flick colored designs onto your apples for a finishing touch. Refrigerate until set, overnight is even better.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8125903.jpg,"5 large Granny Smith apples, 1 (14 ounce) package individually wrapped caramels, unwrapped, 2 tablespoons water, 7 ounces chocolate candy bar, broken into pieces, 2 tablespoons shortening, divided, 1 cup colored candy coating melts",5 mins,5,50 mins,2023-07-08T09:52:53Z
https://www.allrecipes.com/recipe/91824/best-ever-caramel-apple-crisp/,Best Ever Caramel Apple Crisp,55 mins,"&#34;When our class visited an apple farm this fall, we realized that we all shared a common love apples dipped in caramel. We created this really easy dessert that the whole family can enjoy.&#34;","Step1: Preheat oven to 350 F (175 degree C). Step2: In a medium size bowl, toss apples with sugar, flour, cinnamon, lemon juice, and water; spread evenly into a 8x8 inch pan. In another bowl, mix together flour, brown sugar, oats, and butter; spoon mixture evenly over apples. Step3: In a heavy sauce pan over low heat, melt the caramels with the evaporated milk. Heat , stirring frequently, until mixture has a smooth consistency. Drizzle the caramel sauce over the top of the crumble. Step4: Bake in preheated oven for about 45 minutes (apple mixture will bubble and topping will be golden brown).",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F3b27dded91ccc37179cbd6b3c6f9a70a%2F1667165640731IMG_0041.jpeg,"5 large Granny Smith apples - peeled, cored, and thinly sliced, 0.5 cup white sugar, 1 tablespoon all-purpose flour, 0.5 teaspoon ground cinnamon, 1 tablespoon lemon juice, 0.25 cup water, 1.5 cups all-purpose flour, 1 cup brown sugar, 1 cup quick cooking oats, 1 cup butter, softened, 1 (14 ounce) package individually wrapped caramels, unwrapped, 1 (5 ounce) can evaporated milk",45 mins,12,1 hr 40 mins,2023-07-08T09:53:10Z
https://www.allrecipes.com/recipe/112239/caramel-macchiato-cheesecake/,Caramel Macchiato Cheesecake,1 hr 28 mins,I work at a coffee shop and my favorite coffee drink is a caramel macchiato so I created a caramel macchiato cheesecake that has become my favorite cheesecake.,"Step1: Preheat oven to 350 degrees F (175 degrees C). Lightly coat a 9-inch springform pan with nonstick cooking spray. Step2: Mix together the graham cracker crumbs, melted butter, and 2 tablespoons of sugar until well combined. Press into the bottom of the prepared springform pan, and 1 inch up the sides. Bake in preheated oven for 8 minutes, then remove to cool on a wire rack. Step3: Reduce oven temperature to 325 degrees F (165 degrees C). Step4: Beat the softened cream cheese in a large bowl with an electric mixer until fluffy. Gradually add 1 cup of sugar, beating until blended. Add eggs one at a time, beating well after each addition. Stir in sour cream, espresso and vanilla. Pour batter into the baked and cooled crust. Step5: Bake cheesecake in the preheated oven for 1 hour and 5 minutes; then turn the oven off, partially open the door and allow the cheesecake to rest for 15 minutes more. Remove from the oven, and run a knife around the edges. Cool cheesecake on a wire rack to room temperature, then cover the springform pan with plastic wrap, and chill in the refrigerator for 8 hours. Step6: To serve, cut the cheesecake into wedges and garnish each slice with whipped cream and caramel sauce.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9436856.jpg,"2 cups graham cracker crumbs, 0.5 cup butter, melted, 2 tablespoons white sugar, 3 (8 ounce) packages cream cheese, softened, 1 cup white sugar, 3 eggs, 1 (8 ounce) container sour cream, 0.25 cup brewed espresso or strong coffee, 2 teaspoons vanilla extract, pressurized whipped cream, caramel ice cream topping",35 mins,12,10 hrs 3 mins,2023-07-08T09:53:24Z
