url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/68436/vegan-brownies/,Vegan Brownies,25 mins,"These vegan brownies are gooey, fudgy, and rich with chocolate flavor. These easy-to-make treats are the best homemade egg-free, dairy-free brownies.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish. Step2: Stir together flour, sugar, cocoa powder, baking powder, and salt in a large bowl. Pour in water, vegetable oil, and vanilla; mix until well-blended. Spread evenly in the prepared dish. Step3: Bake in the preheated oven until top is no longer shiny, 25 to 30 minutes. Let cool for at least 10 minutes before cutting into 16 squares.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F16e6e6a9d51a1ab6758b3fffaa49e8a0%2F1666714757506A557A0F1-B462-4973-90C3-FEC1B42DB076.jpeg,"2 cups unbleached all-purpose flour, 2 cups white sugar, 0.75 cup unsweetened cocoa powder, 1 teaspoon baking powder, 1 teaspoon salt, 1 cup water, 1 cup vegetable oil, 1 teaspoon vanilla extract",15 mins,16,50 mins,2023-07-01T07:40:36Z
https://www.allrecipes.com/recipe/221190/chocolate-covered-matzo/,Chocolate-Covered Matzo,15 mins,Chocolate covered caramel matzo is the perfect Passover dessert and a great way to use leftover matzo. Get creative and try it with white chocolate too!,"Step1: Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with aluminum foil and spray with cooking spray; arrange matzo boards to fit in a single layer, breaking if necessary. Step2: Combine butter and brown sugar together in a saucepan over medium heat; bring to a boil, stirring constantly, then boil for about 3 minutes. Step3: Pour butter mixture evenly over matzo on the prepared baking sheet. Step4: Transfer baking sheet into the preheated oven and immediately reduce heat to 350 degrees F (175 degrees C); bake for 10 minutes. Reduce heat to 325 degrees F (165 degrees C) if the matzo are smoking too much. Step5: Remove baking sheet from oven and sprinkle matzo with chocolate chips. Let stand to melt chocolate, about 5 minutes. Step6: Spread melted chocolate over matzo; place in refrigerator until chilled and set. Break into pieces when cooled.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7949501.jpg,"olive oil cooking spray (such as PAM®), 4 unsalted matzo boards, or more to taste, 1 cup unsalted butter, 1 cup light brown sugar, firmly packed, 0.75 cup chocolate chips",10 mins,10,30 mins,2023-07-01T07:41:17Z
https://www.allrecipes.com/recipe/8495585/caramel-apple-chocolate-bark/,Caramel Apple Chocolate Bark,5 mins,"This chocolate bark recipe with apple chips and caramel has a wonderful salty-sweet flavor and crispy, chewy textures.","Step1: Place 2 cups of chocolate chips in a microwave-safe bowl and melt in the microwave in 30-second intervals, stirring between, until smooth and consistent. Step2: Line a 13x18 baking sheet with parchment. Spread the chocolate onto the baking sheet in a thin, even layer. Allow to cool slightly. Step3: Melt caramel bits in another microwave-safe bowls in 30-second intervals, stirring between, until the caramel bubbles. Quickly drizzle caramel on top of the chocolate, then use a spatula to swirl it evenly around the pan. While the caramel is still warm, top with pretzels, pecans, and apple chips until fully covered. Use another large sheet of parchment paper to gently press the toppings into the caramel. Move to the fridge to chill for 15 minutes. Step4: Melt remaining ½ cup of chocolate chips in the microwave. Transfer to a zip-top bag, cut off a small corner, then drizzle the chocolate evenly over the whole tray. Step5: Move to the fridge to set completely, 2 to 3 hours. Cut in squares or break into large pieces to serve.",https://www.allrecipes.com/thmb/UqVf0C85STe6zof1TpPIe-SeFPU=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2):format(webp)/2975270-chocolate-bark-Christina-4x3-1-86c264be88304f9caaaacb8d96cae442.jpg,"2.5 cups semisweet chocolate chips, divided, 1 cup crushed pretzels, 0.75 cup chopped pecans, 1 (11 ounce) package caramel bits (such as Kraft®), 1 (3.4 ounce) package apple chips",5 mins,24,2 hrs 25 mins,2023-07-01T07:41:27Z
https://www.allrecipes.com/recipe/228740/pumpkin-oatmeal-chocolate-chip-cookies/,Pumpkin Oatmeal Chocolate Chip Cookies,10 mins,"Pumpkin puree brings a colorful dimension to these tasty, chocolate chip oatmeal cookies.","Step1: Preheat oven to 375 degrees F (190 degrees C). Step2: Beat butter, brown sugar, and white sugar together in a bowl until creamy. Add pumpkin, egg, and vanilla extract; beat until smooth. Step3: Mix flour, oats, cinnamon, baking soda, baking powder, and salt in a separate bowl; stir into creamed butter until combined. Fold chocolate chips into batter. Drop 1 to 2 tablespoons batter for each cookie onto a baking sheet. Step4: Bake in the preheated oven until the edges of each cookie are lightly browned, 10 to 12 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8764928.jpg,"1.5 cups butter, softened, 2 cups packed brown sugar, 1 cup white sugar, 1 (15 ounce) can pumpkin puree, 1 egg, 1 teaspoon vanilla extract, 4 cups all-purpose flour, 2 cups quick-cooking oats, 2 teaspoons ground cinnamon, 2 teaspoons baking soda, 1 teaspoon baking powder, 1 teaspoon salt, 2 cups miniature chocolate chips",15 mins,72,25 mins,2023-07-01T07:44:14Z
https://www.allrecipes.com/recipe/8271/raspberry-white-chocolate-mousse/,Raspberry White Chocolate Mousse,10 mins,This white chocolate mousse with raspberry sauce is made with heavy cream and white chocolate chips for a deliciously light and fluffy layered dessert.,"Step1: Process berries in a blender or food processor until smooth. Strain mixture into a small bowl and discard seeds. Add sugar and liqueur; stir until sugar dissolves. Makes 1 cup raspberry sauce. Step2: Warm 1/4 cup cream and white chocolate in a heavy saucepan over low heat, stirring constantly, until chocolate melts; let mixture cool until lukewarm. Stir in 1 tablespoon raspberry sauce and food coloring. Transfer to a large bowl. Step3: Beat 1 1/2 cups cream in a chilled glass or metal bowl with an electric mixer until soft peaks form; fold into melted chocolate mixture, 1/3 at a time, until no streaks remain. Step4: Layer into parfait dishes and serve with remaining raspberry sauce.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8246308.jpg,"1 (10 ounce) package frozen raspberries, thawed, 2 tablespoons white sugar, 2 tablespoons orange liqueur, 1.75 cups heavy whipping cream, divided, 6 ounces white chocolate, chopped, 1 drop red food coloring",15 mins,16,40 mins,2023-07-01T07:44:44Z
https://www.allrecipes.com/recipe/10025/white-chocolate-macadamia-nut-cookies-iii/,White Chocolate Macadamia Nut Cookies,10 mins,These white chocolate macadamia nut cookies are golden and chewy and studded with chocolate — a combination of comfort and luxury that&#39;s sure to please.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Cream butter, brown sugar, and white sugar together in a large bowl until smooth. Beat in eggs one at a time, then stir in vanilla and almond extracts. Step3: Combine flour, baking soda, and salt in another bowl. Gradually stir the dry ingredients into the butter mixture. Fold in macadamia nuts and white chocolate. Step4: Drop dough by teaspoonfuls onto ungreased cookie sheets. Step5: Bake in the preheated oven until golden brown, about 10 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F092776b3a9dbf38d8acf9d5f9b6e637a%2F1682207064799AE358EE5-98C5-425E-84B0-0264879D507E.jpeg,"1 cup butter, softened, 0.75 cup packed light brown sugar, 0.5 cup white sugar, 2 eggs, 0.5 teaspoon vanilla extract, 0.5 teaspoon almond extract, 2.5 cups all-purpose flour, 1 teaspoon baking soda, 0.5 teaspoon salt, 1 cup coarsely chopped macadamia nuts, 1 cup coarsely chopped white chocolate",15 mins,48,45 mins,2023-07-01T07:44:56Z
https://www.allrecipes.com/recipe/7565/too-much-chocolate-cake/,Too Much Chocolate Cake,50 mins,"This prize-winning chocolate cake uses devil&#39;s food cake mix, instant pudding, sour cream, and chocolate chips to make a tender and rich-tasting Bundt cake.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Generously grease a 12-cup Bundt pan. Step2: Mix together cake mix, pudding mix, sour cream, oil, water, and eggs in a large bowl until well-blended. Step3: Stir in chocolate chips. Step4: Pour batter into the prepared Bundt pan. Step5: Bake in the preheated oven until top is springy to the touch and a toothpick inserted into center of cake comes out clean, 50 to 55 minutes. Step6: Cool cake thoroughly in the pan for at least 1 1/2 hours before inverting it onto a plate. Sprinkle powdered sugar on top if desired. Step7: Enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F55857d796e23dabfc4ce24233717a50d%2F1686621264399IMG_9339.jpeg,"1 (18.25 ounce) package devil's food cake mix, 1 (5.9 ounce) package instant chocolate pudding mix, 1 cup sour cream, 1 cup vegetable oil, 0.5 cup warm water, 4 eggs, 2 cups semisweet chocolate chips",15 mins,12,2 hrs 35 mins,2023-07-01T07:45:18Z
https://www.allrecipes.com/recipe/8538802/mom-mom-kolars-chocolate-rum-pie/,Mom-Mom Kolar&#39;s Chocolate Rum Pie,25 mins,I inherited my grandmother&#39;s recipe binder after her passing and discovered a delicious chocolate rum pie recipe. Here&#39;s how to make it.,"Step1: Combine 1/2 cup sugar, gelatin, and salt in a sauce pan. Stir in milk and egg yolks. Cook and stir over low heat until slightly thickened, 3 to 5 minutes. Remove from heat, add chocolate pieces, and stir until melted. Add rum and stir until well combined. Chill until partially set, about 1 hour. Step2: Beat egg whites in a chilled glass or metal bowl with an electric mixer until soft peaks form. Gradually add 1/4 cup sugar, beating until stiff peaks form. Fold egg whites into the chocolate mixture. Step3: To make whipped cream mixture, beat cream and vanilla extract in a chilled glass or metal bowl with an electric mixer until stiff peaks form. Layer the whipped cream and chocolate mixture into the pie shell. Swirl the top with a fork to marbelize. Step4: Chill pie in the refrigerator until firm, 1 to 2 hours.",https://www.allrecipes.com/thmb/JuXwTWNTlU-Ohzq7lBqLQw8LWiA=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/shelby-vittek-8faf3eb60db743018e21ee2dc2317619.jpg,"0.5 cup white sugar, 1 (.25 ounce) envelope unflavored gelatin, 1 pinch salt, 1 cup whole milk, 2 large egg yolks, 1 (6 ounce) package semi-sweet chocolate chips, 0.3 cup dark rum, 0.25 cup sugar, 1 cup heavy whipping cream, 1 teaspoon vanilla extract, 1 (9 inch) pie shell, baked",20 mins,8,3 hrs 45 mins,2023-07-01T07:45:32Z
https://www.allrecipes.com/recipe/10707/mmm-mmm-better-brownies/,Mmm-Mmm Better Brownies,25 mins,"A brownie recipe with oil, cocoa powder, flour, and eggs that&#39;s easy to make. Chopped walnuts add a nice crunch factor to this very chocolaty treat!","Step1: Gather ingredients. Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch square baking pan. Step2: Mix sugar, oil, and vanilla together in a medium bowl; beat in eggs until well combined. Step3: Mix flour, cocoa, baking powder, and salt together in a separate bowl; gradually stir into egg mixture until well blended. Stir in walnuts. Step4: Spread the batter evenly into the prepared pan. Step5: Bake in the preheated oven until the brownie begins to pull away from the edges of the pan, about 20 to 25 minutes. Step6: Let cool on a wire rack before cutting into 16 squares.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F357617f24b3430f4255e78eb06b6f53f%2F167256248367216725624451958456124091786524578.jpg,"1 cup white sugar, 0.5 cup vegetable oil, 1 teaspoon vanilla extract, 2 eggs, 0.5 cup all-purpose flour, 0.33333334326744 cup unsweetened cocoa powder, 0.25 teaspoon baking powder, 0.25 teaspoon salt, 0.5 cup chopped walnuts",15 mins,16,40 mins,2023-07-01T07:45:55Z
https://www.allrecipes.com/recipe/17981/one-bowl-chocolate-cake-iii/,One Bowl Chocolate Cake,30 mins,This simple one bowl chocolate cake has a rich and moist texture and takes only minutes to prepare. Frost with your favorite chocolate frosting.,"Step1: Gather all ingredients. Step2: Preheat oven to 350 degrees F (175 degrees C). Grease and flour two nine inch round pans. Step3: In a large bowl, stir together the sugar, flour, cocoa, baking powder, baking soda and salt. Step4: Add the eggs, milk, oil and vanilla, mix for 2 minutes on medium speed of mixer. Step5: Stir in the boiling water last. Batter will be thin. Step6: Pour evenly into the prepared pans. Step7: Bake 30 to 35 minutes in the preheated oven, until the cake tests done with a toothpick. Cool in the pans for 10 minutes, then remove to a wire rack to cool completely. Step8: Enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F4fe42653e976291063924b9c56cf3b51%2F168591292246020230604_170755.jpg,"2 cups white sugar, 1.75 cups all-purpose flour, 0.75 cup unsweetened cocoa powder, 1.5 teaspoons baking powder, 1.5 teaspoons baking soda, 1 teaspoon salt, 2 eggs, 1 cup milk, 0.5 cup vegetable oil, 2 teaspoons vanilla extract, 1 cup boiling water",20 mins,24,1 hr,2023-07-01T07:46:07Z
