url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/231532/moms-peach-crisp/,Peach Crisp,30 mins,Make this quick and easy peach crisp using either fresh or canned peaches. Serve warm with vanilla ice cream for the perfect dessert any night of the week.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Arrange sliced peaches evenly in an 8x8-inch baking dish. Step3: Mix flour, brown sugar, butter, cinnamon, and salt in a bowl using a pastry cutter until crumbly. Step4: Fold oats into flour mixture. Step5: Sprinkle mixture evenly over peaches, pressing down lightly. Step6: Bake in the preheated oven until crispy and golden brown on top, about 30 minutes. Step7: Enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fab1f5db9ac07e7bc1129a81b10f52003%2F166345018916634501797208076181277778054701.jpg,"4 cups sliced fresh peaches, 0.5 cup all-purpose flour, 0.5 cup brown sugar, 0.5 cup cold butter, 1 teaspoon ground cinnamon, 0.25 teaspoon salt, 1 cup rolled oats",15 mins,8,45 mins,2023-07-08T09:37:12Z
https://www.allrecipes.com/recipe/12409/apple-crisp-ii/,Apple Crisp,45 mins,This delicious apple crisp recipe is bursting with cinnamon-spiced apples. Serve warm with vanilla ice cream for a fabulous fall dessert.,"Step1: Gather all ingredients. Step2: Preheat the oven to 350 degrees F (175 degrees C). Step3: Place sliced apples in a 9x13-inch baking dish. Mix white sugar, 1 tablespoon flour, and cinnamon together; sprinkle over apples. Pour water evenly over apples. Step4: Combine oats, 1 cup flour, brown sugar, baking powder, and baking soda in a large bowl. Add melted butter and mix with a fork until crumbly; sprinkle evenly over apple mixture. Step5: Bake in the preheated oven until top is golden brown and apples are bubbling around the edges, about 45 minutes. Step6: Enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F54b4f972a574397680c4edd21880a7a7%2F168838231067620230702_160349.jpg,"10 cups all-purpose apples, peeled, cored and sliced, 1 cup white sugar, 1 tablespoon all-purpose flour, 1 teaspoon ground cinnamon, 0.5 cup water, 1 cup quick-cooking oats, 1 cup all-purpose flour, 1 cup packed brown sugar, 0.25 teaspoon baking powder, 0.25 teaspoon baking soda, 0.5 cup butter, melted",30 mins,12,1 hr 15 mins,2023-07-08T09:38:54Z
https://www.allrecipes.com/recipe/255008/easy-caramel-apple-pie-bars/,Easy Caramel Apple Pie Bars,35 mins,"These apple pie bars have a delicious caramel-apple filling and an easy-to-make crumbly topping for a crowd-pleasing choice, especially when covered with caramel!","Step1: Preheat the oven to 350 degrees F (175 degrees C). Line a 9x13-inch baking pan with parchment paper. Step2: Combine flour, 1 cup butter, 3/4 cup white sugar, egg, baking powder, and 1/2 teaspoon salt in a food processor; pulse until crumbled and easily formed into dough when pinched. Pour 3/4 of the dough into the prepared pan; press down with your hands until crust is even and well-packed. Step3: Melt 3 tablespoons butter in a skillet over medium heat. Add apples, brown sugar, 1/2 cup white sugar, cinnamon, nutmeg, and salt; cook and stir until apples are softened, about 5 minutes. Stir in cornstarch; mix, adding more cornstarch if needed, until liquid has thickened. Step4: Pour caramel-apple mixture onto crust; smooth with a spatula until even. Crumble remaining dough on top. Step5: Bake in the preheated oven until top is golden brown, 30 to 40 minutes. Let cool for 10 minutes; cut into bars.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets-ucg.meredithcorp.io%2F0be363d1305c851946f46cf8eed7138a%2F7198414.jpg,"3 cups all-purpose flour, 1 cup unsalted butter, 0.75 cup white sugar, 1 egg, 1 teaspoon baking powder, 0.5 teaspoon salt, 3 tablespoons unsalted butter, 5 Granny Smith apples, peeled and diced, 0.5 cup brown sugar, 0.5 cup white sugar, 2 teaspoons ground cinnamon, 0.25 teaspoon grated nutmeg, 1 pinch salt, 1 tablespoon cornstarch, or as needed",20 mins,16,1 hr 5 mins,2023-07-08T09:39:28Z
https://www.allrecipes.com/recipe/19829/pineapple-crisp/,Pineapple Crisp,40 mins,"This pineapple recipe makes a delicious tropical and juicy crisp made with crushed pineapple layered with a buttery, brown sugar, cinnamon topping.","Step1: Preheat the oven to 350 degrees F (175 degrees C). Step2: Spread well-drained pineapple into a 9x9-inch square baking pan. Step3: Mix together flour, sugar, baking powder, salt, and egg in a medium bowl until well combined and crumbly. Spoon mixture evenly over pineapple. Pour melted butter over mixture, then sprinkle with cinnamon. Step4: Bake in the preheated oven until top is lightly browned and filling is bubbly, 40 to 45 minutes. Serve hot or cold.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8379425.jpg,"2 (20 ounce) cans crushed pineapple, drained, 1 cup all-purpose flour, 1 cup brown sugar, 1 teaspoon baking powder, 0.5 teaspoon salt, 1 egg, 0.5 cup butter, melted, 1 teaspoon ground cinnamon",15 mins,12,55 mins,2023-07-08T09:39:39Z
https://www.allrecipes.com/recipe/51535/fresh-southern-peach-cobbler/,Fresh Southern Peach Cobbler,40 mins,This peach cobbler recipe with fresh sweet peaches and a homemade biscuit topping makes a delicious Southern-style dessert that&#39;s perfect for summer nights.,"Step1: Gather all ingredients. Step2: Preheat the oven to 425 degrees F (220 degrees C). Step3: Combine peaches, 1/4 cup white sugar, 1/4 cup brown sugar, 1/4 teaspoon cinnamon, nutmeg, lemon juice, and cornstarch in a large bowl; toss to coat evenly, and pour into a 2-quart baking dish. Bake in preheated oven for 10 minutes. Step4: Meanwhile, combine flour, 1/4 cup white sugar, 1/4 cup brown sugar, baking powder, and salt in a large bowl. Blend in butter with your fingertips or a pastry blender until mixture resembles coarse meal. Stir in water until just combined. Step5: Remove peaches from oven, and drop spoonfuls of topping over them. Step6: Mix 3 tablespoons white sugar and 1 teaspoon cinnamon together in a small bowl; sprinkle over entire cobbler. Step7: Bake in the preheated oven until topping is golden, about 30 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0af90357122f0d74b29e329592dc2484%2F1680430818890GridArt_20230402_181232991.jpg,"8 fresh peaches - peeled, pitted and sliced into thin wedges, 0.25 cup white sugar, 0.25 cup brown sugar, 0.25 teaspoon ground cinnamon, 0.125 teaspoon ground nutmeg, 1 teaspoon fresh lemon juice, 2 teaspoons cornstarch, 1 cup all-purpose flour, 0.25 cup white sugar, 0.25 cup brown sugar, 1 teaspoon baking powder, 0.5 teaspoon salt, 6 tablespoons unsalted butter, chilled and cut into small pieces, 0.25 cup boiling water, 3 tablespoons white sugar, 1 teaspoon ground cinnamon",20 mins,4,1 hr,2023-07-08T09:40:01Z
https://www.allrecipes.com/recipe/76931/apple-cranberry-crostada/,Apple-Cranberry Crostada,6 to 8 - servings,"While a good pie crust ought to be a part of every cook&#39;s repertoire, sometimes there just isn&#39;t the time. But why leave the baking to the grocery stores or bakery when puff pastry is a simple, high-quality stand-in for the original? In this Crostada, the sheet dough is baked free-form with ingredients piled on top. Couldn&#39;t be easier!","Step1: Heat butter in a large skillet over medium-high heat. Add apples, 1/2 cup sugar and cranberries; cover and cook until apples release their liquid, about 5 minutes. Remove lid and continue to cook, stirring frequently, until soft apples fall apart and juices thicken to a thin-syrup consistency, about 5 minutes longer. Pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (Can be refrigerated in an airtight container up to 5 days.) Step2: Adjust oven rack to low position and heat oven to 400 degrees. Open puff pastry sheet on a lightly floured work surface. Roll into a rectangle, about 10 by 16 inches. Transfer to a large cookie sheet. (I suggest lining the sheet with parchment paper; this ensures the crostada doesn&#39;t stick and allows easy cleanup.) Step3: Spread cooked apples over pastry, leaving a 2-inch border. Fold up pastry borders over apples. Unfold corners and form ruffled creases to keep dough from overlapping. Brush pastry border with egg white and sprinkle with the remaining 1 Tb. sugar. Bake until pastry is golden brown, 25 to 30 minutes. Serve warm or at room temperature with optional ice cream or whipped cream.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3979539.jpg,"3 tablespoons butter, 2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick, 1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick, 0.5 cup sugar, 0.5 cup dried cranberries, 1 sheet frozen puff pastry, thawed but still cold (follow package directions), 1 egg white, lightly beaten, 1 tablespoon sugar, 1 cup Optional: Ice cream or lightly sweetened whipped cream","Heat butter in a large skillet over medium-high heat. Add apples, 1/2 cup sugar and cranberries; cover and cook until apples release their liquid, about 5 minutes. Remove lid and continue to cook, stirring frequently, until soft apples fall apart and juices thicken to a thin-syrup consistency, about 5 minutes longer. Pour onto a large-lipped cookie sheet or jellyroll pan and cool to room temperature. (Can be refrigerated in an airtight container up to 5 days.)",8,0 mins,2023-07-08T09:40:18Z
https://www.allrecipes.com/recipe/12324/apple-pie-i/,Easy Apple Pie,40 mins,Make easy apple pie with this simple recipe for a homemade double-crust pie made with layers of apples and cinnamon sugar baked until golden brown.,"Step1: Preheat the oven to 450 degrees F (230 degrees C). Step2: Line a 9-inch pie dish with one pastry crust; set second one aside. Step3: Combine 3/4 cup sugar and cinnamon in a small bowl. Add more sugar if your apples are tart. Step4: Layer apple slices in the prepared pie dish, sprinkling each layer with cinnamon-sugar mixture. Step5: Dot top layer with small pieces of butter. Cover with top crust. Step6: Bake pie on the lowest rack of the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until golden brown and filling bubbles, 30 to 35 minutes more. Step7: Serve warm or cold.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fa2b0a834f9fcd40e693031f7266c4b36%2F1687548589796image.jpg,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie, 0.75 cup white sugar, or more to taste, 1 teaspoon ground cinnamon, 6 cups thinly sliced apples, 1 tablespoon butter",20 mins,8,1 hr,2023-07-08T09:41:25Z
https://www.allrecipes.com/recipe/15836/strawberry-pie-ii/,Strawberry Pie,15 mins,"Strawberry pie is a favorite, and this five-ingredient, picture-perfect version couldn&#39;t be easier to whip up. It&#39;s a must-try after berry picking!","Step1: Arrange 1/2 of strawberries in baked pastry shell. Place remaining strawberries in a medium saucepan. Step2: Add sugar to the strawberries in the saucepan; place over medium heat and bring to a boil, stirring frequently. Step3: Whisk cornstarch and water together in a small bowl. Gradually stir cornstarch mixture into boiling strawberry mixture. Reduce heat and simmer mixture until thickened, about 10 minutes, stirring constantly. Step4: Pour cooked strawberry mixture over berries in pastry shell. Refrigerate until chilled and set, at least 3 hours. Step5: Before serving, whip cream in a medium bowl until soft peaks form. Serve each slice of pie with a dollop of whipped cream.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fb174c66405e712f1a07a87959a4a61b9%2F1687034505380IMG_2621.jpeg,"1 quart fresh strawberries, hulled, 1 (9 inch) pie crust, baked, 1 cup white sugar, 3 tablespoons cornstarch, 0.75 cup water, 0.5 cup heavy whipping cream",15 mins,8,3 hrs 30 mins,2023-07-08T09:42:00Z
https://www.allrecipes.com/recipe/12398/crustless-cranberry-pie/,Crustless Cranberry Pie,40 mins,This crustless cranberry pie with walnuts is a perfect blend of sweet and tart flavor. Serve warm with vanilla ice cream or a dollop of whipped cream.,"Step1: Gather all ingredients. Step2: Preheat the oven to 350 degrees F (175 degrees C). Grease a 9-inch pie pan. Step3: Combine flour, sugar, and salt in a bowl. Add cranberries and walnuts, and toss to coat. Step4: Stir in butter, eggs, and almond extract. Step5: Spread the batter into the prepared pan. Step6: Bake in the preheated oven until a toothpick inserted near the center comes out clean, about 40 minutes. Step7: Serve warm.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F1f92930e32133b22494ee1169089a190%2F1667439712074AE7FA68C-30F7-4734-935C-FF742A485263.jpeg,"1 cup all-purpose flour, 1 cup white sugar, 0.25 teaspoon salt, 2 cups cranberries, 0.5 cup chopped walnuts, 0.5 cup butter, melted, 2 large eggs, beaten, 1 teaspoon almond extract",15 mins,8,55 mins,2023-07-08T09:42:13Z
https://www.allrecipes.com/baked-apple-fritters-recipe-7504941,Baked Apple Fritters,13 mins,"These baked apple fritters are soft and crunchy without frying, and the broiled vanilla glaze makes them extra crisp.","Step1: Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper. Step2: Whisk together all-purpose flour, brown sugar, baking powder, cinnamon, nutmeg, and salt in a large bowl. Cut in butter with a pastry blender until mixture resembles coarse crumbs. Step3: Whisk milk, egg, and vanilla extract together in a cup. Stir into flour mixture just until combined; stir in chopped apple. Use a scoop or spoon to drop 1/4-cup mounds onto prepared baking sheet. Step4: Bake in the preheated oven until a skewer inserted near the center of fritter comes out clean, 11 to 12 minutes. Remove to a wire rack. Step5: Preheat the oven’s broiler. Whisk together confectioner&#39;s sugar, milk, and vanilla extract. Brush a thin layer of glaze over fritters, and place under broiler. Step6: Broil fritters until glaze is bubbly, about 2 minutes.",https://www.allrecipes.com/thmb/_nvJ_H-QJQJIQVoGRloo9zOZxy8=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2):format(webp)/90295-moms-apple-fritters-ddmfs-4X3-5780-c4e214bc6fa945ddadf7f1541539d390.jpg,"1 1/2 cup all-purpose flour, sifted, 1/2 cup packed light brown sugar, 2 teaspoons baking powder, 1 teaspoon ground cinnamon, 1 teaspoon ground nutmeg, pinch of salt, 6 tablespoons unsalted butter, cold, 1/2 cup whole milk, 1 large egg, 1 teaspoon vanilla extract, 1 cup chopped Honeycrisp apple, 1 cup confectioners’ sugar, 2 tablespoons whole milk, 1 teaspoon vanilla extract",15 mins,10,28 mins,2023-07-08T09:42:21Z
