url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/73963/pasta-salad-with-homemade-dressing/,Pasta Salad with Homemade Dressing,15 mins,"A homemade Italian pasta salad dressing takes this simple pasta salad loaded with veggies, cheese, pepperoni, and olives to a whole new level! Perfect for weekday lunches or picnics.","Step1: Gather all ingredients. Step2: Bring a large pot of lightly salted water to a boil. Add rotini and cook until tender yet firm to the bite, 8 to 10 minutes. Drain, rinse with cold water, and drain again. Step3: Transfer drained, cooked pasta to a large bowl. Add pepperoni, provolone cheese, red onion, cucumber, bell peppers, olives, parsley, and Parmesan cheese. Step4: Mix olive oil, vinegar, garlic, basil, oregano, ground mustard, salt, and pepper for dressing in a jar with a lid. Seal the jar, and shake until well combined. Step5: Pour dressing over the pasta salad; toss until well coated. Serve immediately, or cover and chill in the refrigerator for up to 8 hours before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fa6fdce81e1891c504cc07f24ea4b2122%2F1688241281708Pasta-Salad-Recipe.jpg,"1 (8 ounce) package uncooked tri-color rotini pasta, 6 ounces pepperoni sausage, diced, 6 ounces provolone cheese, cubed, 1 medium red onion, very thinly sliced and cut into 1-inch pieces, 1 small cucumber, thinly sliced, 0.75 cup chopped green bell pepper, 0.75 cup chopped red bell pepper, 1 (6 ounce) can pitted black olives, drained, 0.25 cup minced fresh parsley, 0.25 cup grated Parmesan cheese, 0.5 cup olive oil, 0.25 cup red wine vinegar, 2 cloves garlic, minced, 1 teaspoon dried basil, 1 teaspoon dried oregano, 0.5 teaspoon ground mustard seed, 0.25 teaspoon salt, 0.125 teaspoon ground black pepper",30 mins,8,45 mins,2023-07-08T09:23:04Z
https://www.allrecipes.com/recipe/8517237/tiktok-green-goddess-salad/,TikTok Green Goddess Salad,15 mins,"This bowl from the viral TikTok video from Baked by Melissa is just as delicious and scoop-able as it is in her video. The dressing is so tasty that we recommend mixing up an extra batch to use on grilled veggies, fish and even as a sauce for pizza!","Step1: Place the cabbage, cucumbers, and green onions in a large bowl. Set aside. Step2: Add garlic, shallot, lemon juice, chives, oil, vinegar, nuts, basil, spinach and yeast to the bowl of a food processor and blend, scraping down the sides occasionally, until smooth, about 1 minute. Step3: Pour dressing over cabbage and toss until well-combined. Season with salt and pepper, to taste.",https://www.allrecipes.com/thmb/IoUwMxryPsprc0V3whOceymJh9w=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/sara-haas-dce67cd6a4ea498787a5cd03f526f8dd.jpg,"4 cups finely chopped green cabbage, 3 mini cucumbers, chopped, 5 scallions (green onions), trimmed and sliced, 2 cloves garlic, peeled, 1 shallot, peeled, 0.25 cup lemon juice, 0.25 cup chives, 0.25 cup extra-virgin olive oil, 2 tablespoons rice vinegar, 0.25 cup nuts (walnuts, cashews, almonds, etc.), 1 cup fresh basil, 1 cup baby spinach, 2 tablespoons nutritional yeast, salt and freshly ground black pepper to taste","Place the cabbage, cucumbers, and green onions in a large bowl. Set aside.",8,15 mins,2023-07-08T09:24:06Z
https://www.allrecipes.com/recipe/218225/greek-couscous/,Greek Couscous Salad,5 mins,"This Greek couscous salad with garbanzo beans, feta cheese, sun-dried tomatoes, and olives is hearty and delicious. Perfect for a hot summer&#39;s day.","Step1: Pour water and chicken broth into a saucepan; stir in the garlic and bring to a boil. Stir in pearl couscous, cover the pan, and remove from heat. Allow couscous to stand until water has been absorbed, about 5 minutes; fluff with a fork. Allow couscous to cool to warm temperature. Step2: Lightly toss couscous, chickpeas, sun-dried tomatoes, olives, and feta cheese in a large serving bowl. Step3: To make the dressing: Mix white wine vinegar, lemon juice, oregano, and black pepper in a small bowl until well combined. Pour over couscous mixture; toss again to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F6c5c61948b94da24b5e6272be67effec%2F1648955196A34CCED9-4EBD-4AF8-8D13-34AD62A55817.jpeg,"0.5 cup water, 0.25 cup chicken broth, 1 teaspoon minced garlic, 0.5 cup pearl (Israeli) couscous, 1 cup canned garbanzo beans, rinsed and drained, 0.25 cup chopped sun-dried tomatoes, 0.25 cup sliced Kalamata olives, 2 tablespoons crumbled feta cheese, 1 tablespoon white wine vinegar, 1.5 teaspoons lemon juice, 1 teaspoon dried oregano, 0.5 teaspoon ground black pepper",20 mins,3,45 mins,2023-07-08T09:24:14Z
https://www.allrecipes.com/recipe/8530011/green-goddess-salad/,Green Goddess Salad,20 mins,"A simple romaine salad topped with classic green goddess dressing made with mayonnaise, parsley, spinach, basil, tarragon, and, lemon juice.","Step1: Combine spinach, parsley, basil, chives, tarragon, shallot, garlic, anchovy paste, and lime juice in a high-powered blender; blend and slowly add oil through top opening of blender until mixture is smooth, about 1 minute, scraping down sides if needed. Add mayonnaise and salt; blend until smooth. Cover and chill until ready to serve. Step2: Combine cabbage, romaine, cucumber, and scallions in a large bowl; add 2/3 cup of the dressing and toss to evenly coat. Divide between 4 bowls and top each bowl with avocado and 1 tablespoon of the pistachios. Serve immediately with remaining dressing.",https://www.allrecipes.com/thmb/xoKWnU_nkf2evuoBiiREnW58IYs=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/julia-levy-374ef21e61554af197b52367ec52b28e.jpg,"1 cup baby spinach, 1 cup coarsely chopped fresh flat-leaf parsley, 0.33 cup loosely packed fresh basil leaves, 3 tablespoons chopped fresh chives, 2 tablespoons coarsely chopped tarragon leaves, 0.5 medium shallot, peeled, coarsely chopped, 1 small garlic clove, peeled and chopped, 0.5 teaspoon anchovy paste, 0.25 cup fresh lime juice (from 2 medium limes), 6 tablespoons olive oil, 0.5 cup mayonnaise, 0.75 teaspoon kosher salt, 4 cups chopped green cabbage, 4 cups chopped hearts of romaine, 3 medium Persian cucumbers, sliced, 0.5 cup thinly sliced green onions, 1 medium ripe avocado, peeled and chopped, 0.25 cup chopped roasted, salted pistachios","Combine spinach, parsley, basil, chives, tarragon, shallot, garlic, anchovy paste, and lime juice in a high-powered blender; blend and slowly add oil through top opening of blender until mixture is smooth, about 1 minute, scraping down sides if needed. Add mayonnaise and salt; blend until smooth. Cover and chill until ready to serve.",4,20 mins,2023-07-08T09:24:22Z
https://www.allrecipes.com/recipe/8533611/hearts-of-palm-and-avocado-salad/,Hearts of Palm and Avocado Salad,15 mins,"Try this delicious hearts of palm salad with avocado, vegetables, and a simple lime dressing.","Step1: Peel the hearts of palm into strips lengthwise and cut the pile of strips in half. Set aside. Step2: Combine lime juice and vinegar in a small bowl and whisk in olive oil to combine. Season with chili powder and salt and set aside. Step3: Combine onion, bell pepper, radish, carrots, tomato, serrano, cilantro, and reserved vinaigrette in a medium bowl; stir to combine. Gently fold in avocado and hearts of palm. Serve immediately.",https://www.allrecipes.com/thmb/bTp96bLWnN7r28uyGH0YEbH47rM=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/nicole-mclaughlin-portrait-129b390897334dedad8bf1ae0fc22633.jpg,"2 (14 ounce) cans whole hearts of palm, drained, 1 lime, juiced, 1.5 teaspoons red wine vinegar, 0.25 cup extra-virgin olive oil, 0.5 teaspoon chili powder, 0.75 teaspoon kosher salt, 0.5 cup thinly sliced sweet onion, 0.5 cup chopped red bell pepper, 0.5 cup matchstick-cut radishes, 0.333 cup matchstick-cut carrots, 0.25 cup chopped tomato, 1 serrano chile pepper, seeded and minced, 0.25 cup chopped fresh cilantro, 1 avocado, diced",15 mins,4,15 mins,2023-07-08T09:24:31Z
https://www.allrecipes.com/recipe/8527062/california-spaghetti-salad/,California Spaghetti Salad,10 mins,A delicious pasta salad full of vegetables and topped with goat cheese and almonds. Feel free to change up veggie quantities to your liking.,"Step1: Whisk together white wine vinegar, lemon juice, Parmesan cheese, Italian seasoning, honey, garlic, Dijon mustard, basil, salt, and pepper in a small bowl until well combined. Gradually mix in olive oil, whisking constantly. Set dressing aside. Step2: Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Step3: While spaghetti cook, prepare all the vegetables. Combine spinach, broccoli, peas, carrot, red onion, cucumber, and tomato in a large bowl. Step4: Drain pasta, and add to the bowl with the vegetables. Toss pasta and veggies together. Pour dressing over pasta and veggies and toss until thoroughly combined. Add in goat cheese and almonds and toss again to combine. Step5: Cover pasta, and chill in the fridge for at least 3 hours to overnight. Taste pasta salad, and season with more salt and pepper, if necessary.",https://www.allrecipes.com/thmb/eXh_13U0BGf3jO5RK3LdYrlAcdQ=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(479x0:481x2):format(webp)/9048640-7cbbeec28d2e4b34b25c7382d750701a.jpg,"2 tablespoons white wine vinegar, 2 tablespoons freshly squeezed lemon juice, 2 tablespoons freshly grated Parmesan cheese, 2.5 teaspoons Italian seasoning, 1.5 teaspoons honey, 1 clove minced garlic, 1 teaspoon Dijon mustard, 1 teaspoon dried basil, 0.25 teaspoon salt, 0.25 teaspoon freshly ground black pepper, 0.33 cup olive oil, 1 pound thin spaghetti, 1 cup baby spinach, rinsed and dried, 1 cup chopped broccoli, 1 cup frozen peas, 1 carrot, grated, 0.5 red onion, thinly sliced, 0.5 cucumber, peeled and thinly sliced, 1 Roma tomato, diced, 4 ounces crumbled goat cheese, or to taste, 0.25 cup toasted sliced almonds, or to taste, salt and freshly ground black pepper to taste",15 mins,4,3 hrs 25 mins,2023-07-08T09:24:43Z
https://www.allrecipes.com/recipe/147103/delicious-egg-salad-for-sandwiches/,Delicious Egg Salad for Sandwiches,15 mins,"This egg salad is quick to prep and easy to make with hard-cooked eggs, mayonnaise, mustard, paprika, and green onions. Perfect for sandwiches!","Step1: Place eggs in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel, and chop. Step2: Place chopped eggs in a bowl; stir in mayonnaise, green onion, and mustard. Season with paprika, salt, and pepper. Stir and serve on your favorite bread or crackers.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F4d7ac7cc60e33ca161ab17bf01b491f2%2F167916781876716791678004352448040592925240922.jpg,"8 eggs, 0.5 cup mayonnaise, 0.25 cup chopped green onion, 1 teaspoon prepared yellow mustard, 0.25 teaspoon paprika, salt and pepper to taste",10 mins,4,35 mins,2023-07-08T09:25:01Z
https://www.allrecipes.com/recipe/228283/ham-salad-spread/,Ham Salad,15 mins,"This ham salad with hard-boiled eggs, mayo, mustard, and sweet pickle relish is delicious on crackers and quick to whip up for a party or holiday gathering!","Step1: Mix ham, eggs, celery, pickle relish, and onion together in a medium bowl until combined. Step2: Mix mayonnaise and mustard together in a small bowl; add to ham mixture and stir to coat. Step3: Refrigerate until ready to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F0bb1a05dd09c5991b090c96dd35d4c9d%2F1656442552image.jpg,"3 cups ground fully cooked ham, 2 hard cooked eggs, chopped, 2 tablespoons finely chopped celery, 4 teaspoons sweet pickle relish, 2 teaspoons finely chopped onion, 1 cup mayonnaise, 1 tablespoon prepared yellow mustard",15 mins,12,15 mins,2023-07-08T09:25:44Z
https://www.allrecipes.com/recipe/14452/green-salad/,Green Salad,15 mins,"This green salad is hearty, vibrant, and easy to make. With assorted greens, veggies, and deli meat — this versatile salad is a meal in itself!","Step1: Place onion and bell pepper in a microwave-safe bowl; heat in microwave on high until soft, about 1 to 2 minutes. Set aside to cool. Step2: Combine onion, bell pepper, salad greens, deli meat, and tomato in a large salad bowl. Sprinkle with onion powder, garlic powder, salt, and black pepper; toss well to mix. Step3: Pour on salad dressing; toss well and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8220583.jpg,"0.5 cup chopped onion, 0.5 cup chopped green bell pepper, 2 (10 ounce) packages mixed salad greens, 4 thinly sliced chicken deli meat, chopped, 1 tomato, chopped, 0.25 teaspoon onion powder, 3 dashes garlic powder, 2 pinches salt and ground black pepper to taste, 3 tablespoons balsamic vinaigrette salad dressing",15 mins,8,30 mins,2023-07-08T09:25:53Z
https://www.allrecipes.com/recipe/86353/simple-pasta-salad/,Simple Pasta Salad,15 mins,"An easy pasta salad with Italian dressing, fresh veggies, and a sprinkle of cheese. The perfect simple yet yummy dish to bring to a picnic or potluck.","Step1: Gather all ingredients. Step2: Bring a large pot of lightly salted water to a boil. Place pasta in the pot, cook for 8 to 12 minutes, until al dente, and drain. Step3: Toss cooked pasta with Italian dressing, cucumbers, tomatoes, and green onions in a large bowl. Mix Parmesan cheese and Italian seasoning in a small bowl, and gently mix into the salad. Step4: Mix Parmesan cheese and Italian seasoning in a small bowl, and gently mix into the salad. Cover, and refrigerate for at least 30 minutes before serving. Step5: Enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9263031.jpg,"1 (16 ounce) package uncooked rotini pasta, 1 (16 ounce) bottle Italian salad dressing, 2 cucumbers, chopped, 6 tomatoes, chopped, 1 bunch green onions, chopped, 4 ounces grated Parmesan cheese, 1 tablespoon Italian seasoning",15 mins,12,1 hr,2023-07-08T09:26:08Z
