url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/158140/spaghetti-sauce-with-ground-beef/,Homemade Spaghetti Sauce with Ground Beef,1 hr 5 mins,"Top spaghetti or your favorite pasta with this mom&#39;s meaty spaghetti sauce that&#39;s oh-so easy to make, and ready in just over an hour.","Step1: Gather all ingredients. Step2: Combine ground beef, onion, garlic, and green pepper in a large saucepan over medium-high heat. Cook and stir until meat is browned and crumbly and vegetables are tender, 5 to 7 minutes. Drain grease. Step3: Stir diced tomatoes, tomato sauce, and tomato paste into the pan. Season with oregano, basil, salt, and pepper. Simmer spaghetti sauce for 1 hour, stirring occasionally. Step4: Serve hot and enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F41f7a1cec8d145966f5bb865ac0163af%2F1683900492319Screenshot_20230508_060541_Facebook.jpg,"1 pound ground beef, 1 medium onion, chopped, 4 cloves garlic, minced, 1 small green bell pepper, diced, 1 (28 ounce) can diced tomatoes, 1 (16 ounce) can tomato sauce, 1 (6 ounce) can tomato paste, 2 teaspoons dried oregano, 2 teaspoons dried basil, 1 teaspoon salt, 0.5 teaspoon ground black pepper",10 mins,8,1 hr 15 mins,2023-07-08T09:21:36Z
https://www.allrecipes.com/copycat-chick-fil-a-honey-mustard-recipe-7556788,Copycat Chick-Fil-A Honey Mustard,0 mins,"Now you can make this distinct, addictive copycat version of Chick-Fil-A honey mustard at home.","Step1: Whisk together mustard, honey, corn syrup, molasses, tamarind paste, and salt  in a bowl until well blended. Chill until ready to serve.  Store in an airtight container in the refrigerator up to 2 weeks.",https://www.allrecipes.com/thmb/bTp96bLWnN7r28uyGH0YEbH47rM=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/nicole-mclaughlin-portrait-129b390897334dedad8bf1ae0fc22633.jpg,"½ cup yellow mustard, ⅓ cup honey, 2 tablespoons corn syrup, ¼ teaspoon dark molasses, ¼ teaspoon tamarind paste, ¼ teaspoon kosher salt",5 mins,16,5 mins,2023-07-08T09:22:57Z
https://www.allrecipes.com/air-fryer-green-beans-recipe-7510925,Air Fryer Green Beans,8 mins,"The fresh flavors of summer come alive in these air fryer green beans, a very simple side dish. They pair well with grilled chicken, fish or pork.","Step1: Preheat the air fryer to 380 degrees F (195 degrees C). Step2: Place green beans, olive oil, lemon juice, salt, and pepper in a large bowl and toss to coat. Using tongs, place green beans into the air fryer basket without overcrowding, reserving any remaining liquid in the bowl. You may need to work in batches, depending on the size of your air fryer. Step3: Cook green beans until crisp-tender, 8 to 10 minutes, shaking the basket halfway through. When green beans are done, return to the bowl and toss with the lemon zest. Serve with additional lemon wedges.",https://www.allrecipes.com/thmb/h0G1N1M7aceYxMUMFSop57BUB7M=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2):format(webp)/267149-air-fryer-spicy-green-beans-ddmfs-3X4-0590-fff30e398cc5474ca3ade0aa98729539.jpg,"1 pound fresh green beans, ends trimmed, 1 1/2 tablespoons olive oil, 2 teaspoons lemon juice, 1/2 teaspoon lemon zest, salt and pepper, to taste, 4 lemon wedges",12 mins,4,20 mins,2023-07-08T09:23:08Z
https://www.allrecipes.com/recipe/267554/grilled-sesame-soy-shishito-peppers/,Grilled Sesame-Soy Shishito Peppers,5 mins,"These grilled shishito peppers with ginger, garlic, sesame, and soy might become your new favorite summer side — great with grilled salmon or steak.","Step1: Whisk sesame oil, soy sauce, ginger, and garlic together in a large bowl. Add shishito peppers and toss to combine. Let marinate for 15 to 20 minutes, tossing occasionally. Step2: Preheat an outdoor grill for medium-high heat and heat a grill pan. Step3: Remove peppers from marinade, letting excess marinade drip back into the bowl. Place peppers on the grill pan and cook, tossing every 1 to 2 minutes, until evenly charred, 5 to 7 minutes. Return peppers to bowl with marinade and toss. Sprinkle with salt, if desired, and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9393272.jpg,"1 tablespoon sesame oil, 1 tablespoon soy sauce, 0.5 teaspoon finely grated ginger, 0.5 teaspoon grated garlic, 8 ounces shishito peppers, rinsed, salt to taste",5 mins,4,25 mins,2023-07-08T09:23:16Z
https://www.allrecipes.com/recipe/183835/quick-tartar-sauce/,Quick Tartar Sauce,5 mins,Whip up this quick and easy tartar sauce with only 4 common ingredients when you&#39;re in a hurry.,"Step1: Gather all ingredients. Step2: Add mayonnaise, relish, mustard, and lemon juice together in a bowl. Step3: Stir until thoroughly combined. Step4: Serve immediately or refrigerate the sauce until ready to serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F4835ba9961790cbb51742dd403f96ac8%2F168029002670516802900098866540146947451652467.jpg,"1 cup mayonnaise, 2 teaspoons sweet pickle relish, 1 teaspoon prepared yellow mustard, 1 teaspoon lemon juice",5 mins,8,5 mins,2023-07-08T09:23:25Z
https://www.allrecipes.com/recipe/13606/awesome-broccoli-cheese-casserole/,Awesome Broccoli-Cheese Casserole,45 mins,This tasty broccoli cheese casserole will turn even the pickiest of eaters into broccoli fans! Pairs well with Thanksgiving turkey or Christmas ham.,"Step1: Preheat the oven to 350 degrees F (175 degrees C). Butter a 9x13-inch baking dish. Step2: Whisk condensed soup, mayonnaise, egg, and onions together in a medium mixing bowl until combined. Step3: Place frozen broccoli into a very large mixing bowl and break it up if necessary; add soup mixture and mix well to coat. Sprinkle with cheese and mix well; spread mixture into the prepared baking dish. Season with salt, pepper, and paprika. Step4: Bake in the preheated oven for 45 minutes to 1 hour.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F9ebac671e67ed70c70590985c0c3099d%2F1648999970Cheese%2520broccoli%2520casserole.jpg,"1 (10.5 ounce) can condensed cream of mushroom soup, 1 cup mayonnaise, 1 egg, beaten, 0.25 cup chopped onion, 3 (10 ounce) packages frozen chopped broccoli, 8 ounces shredded sharp Cheddar cheese, salt and pepper to taste, 1 dash paprika",15 mins,8,1 hr,2023-07-08T09:23:35Z
https://www.allrecipes.com/recipe/82659/old-fashioned-onion-rings/,Old Fashioned Onion Rings,15 mins,These delicious onion rings are easy to make at home. The breaded coating fries up perfectly crispy while the onion itself stays sweet and tender.,"Step1: Slice onion into 1/4-inch-thick rings. Step2: Heat oil in a deep-fryer to 365 degrees F (185 degrees C). Place a wire rack over a sheet of aluminum foil. Step3: Prepare breading station by setting out 3 wide, shallow dishes. Whisk flour, baking powder, and salt together in the first dish. Whisk milk and egg together in the second dish. Place bread crumbs in the third dish. Step4: Dip each onion ring into the flour mixture, turning several times until fully coated with flour. Transfer to the egg mixture and use a fork to turn until coated. Lift onion with the fork and shake gently so excess liquid drips back into the dish. Place onion in the bread crumbs and turn several times to coat, scooping crumbs over the ring if necessary. Lift again with the fork, tap any excess bread crumbs back into the dish, and place on the wire rack while you prepare the remaining onion rings. Step5: Deep-fry 3 to 4 onion rings at a time in the preheated oil until golden brown, 2 to 3 minutes. Drain on paper towels while you deep-fry the remaining rings. Step6: Sprinkle with seasoning salt before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F177e911e5ddf0396347b24156c64a879%2F1688349414749IMG_4744.jpeg,"1 large Vidalia or other sweet onion, 1 quart oil for frying, or as needed, 1.25 cups all-purpose flour, 1 teaspoon baking powder, 1 teaspoon salt, 1 cup milk, or as needed, 1 large egg, 0.75 cup dry bread crumbs, 0.125 teaspoon seasoned salt, or to taste",15 mins,3,30 mins,2023-07-08T09:24:29Z
https://www.allrecipes.com/one-pan-creamy-orzo-recipe-7488896,One-Pan Creamy Orzo,15 mins,This one-pan creamy orzo side dish is similar to a risotto but is quick and easy to make.,"Step1: Melt butter in a heavy skillet over medium heat. Add orzo and toast, stirring, 2 to 3 minutes. Stir in garlic; reduce heat to medium-low. Step2: Add chicken broth, 1/2 cup at a time. Simmer, stirring frequently, until broth is absorbed, about 8 minutes. Step3: Once broth is absorbed, stir in cream. Add cheese; stir until cheese melts into the creamy sauce.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F67c513b2a609bdfa3b3c2f88c4ba60f8%2F1687829723906IMG_3372.jpeg,"1 tablespoon butter, 2 cloves garlic, minced, or more to taste, 3/4 cup orzo pasta, 1 1/2 cups chicken broth, 1/4 cup heavy cream, 1/2 cup freshly shredded Parmesan cheese",5 mins,3 servings,20 mins,2023-07-08T09:24:36Z
https://www.allrecipes.com/recipe/8494902/tiktok-parmesan-crusted-roasted-potatoes/,TikTok Parmesan-Crusted Roasted Potatoes,45 mins,We made the viral parmesan-crusted roasted potato recipe from TikTok even better with an updated method for the crispiest potatoes.,"Step1: Preheat oven to 425 degrees F (220 degrees C). Place butter in a 9 x 13-inch baking dish or nonstick baking pan and place in the oven until the butter melts, about 4 minutes. Step2: While the butter melts, score potatoes about 1/4-inch-deep in a diamond pattern (crosshatch). Set aside. Step3: Remove the pan from the oven and let cool slightly, about 2 minutes. Stir Parmesan cheese, garlic and herb seasoning, and salt into butter to form a paste. Spread about 1 teaspoon of the Parmesan paste on the cut-side of each potato; arrange, cut-side down, in the pan. Place in the preheated oven. Step4: Bake until the potatoes are tender and the Parmesan creates a golden crust on the bottom of the potatoes, about 25 minutes. Let stand 5 minutes before using a spatula to release potatoes from pan.",https://www.allrecipes.com/thmb/xoKWnU_nkf2evuoBiiREnW58IYs=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/julia-levy-374ef21e61554af197b52367ec52b28e.jpg,"2 tablespoons unsalted butter, 1 (24 ounce) package baby Yukon Gold potatoes, halved, 0.5 cup freshly grated Parmesan cheese, 1.5 teaspoons garlic and herb seasoning, 1 teaspoon kosher salt",20 mins,4,45 mins,2023-07-08T09:24:48Z
https://www.allrecipes.com/recipe/230103/buttery-garlic-green-beans/,Buttery Garlic Green Beans,10 mins,"This easy, 5-ingredient green bean recipe featuring fresh green beans sautéed in a buttery garlic sauce is perfect to serve at any meal.","Step1: Place green beans into a large skillet and cover with water; bring to a boil. Reduce heat to medium-low and simmer until beans just start to soften, 3 to 5 minutes. Step2: Drain and return to the skillet. Add butter and stir until melted, 1 to 2 minutes. Step3: Add garlic; cook until tender and fragrant, 1 to 2 minutes. Step4: Season with lemon-pepper seasoning and salt before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F35b44a94a03bb484bdf8b2d7a5fde247%2F1675830595592image.jpg,"1 pound fresh green beans, trimmed and snapped in half, 3 tablespoons butter, 3 cloves garlic, minced, 0.125 teaspoon lemon-pepper seasoning, or more to taste, salt to taste",5 mins,4,15 mins,2023-07-08T09:25:51Z
