url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/279177/air-fryer-roasted-asparagus/,Air Fryer Roasted Asparagus,10 mins,"Tender, crisp, air fryer asparagus with Parmesan cheese that&#39;s ready in minutes. This delicious roast vegetable recipe is perfect for busy weeknights.","Step1: Preheat the air fryer to 375 degrees F (190 degrees C). Line the basket with parchment paper. Step2: Place asparagus spears in the prepared basket and mist with avocado oil. Sprinkle with garlic powder, salt, pepper, and pepper flakes. Top with Parmesan cheese. Step3: Air-fry until asparagus spears start to char, 7 to 9 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F8736645ca9ae8a993380a275b806812c%2F168746363312920230622_112048.jpg,"1 bunch fresh asparagus, trimmed, avocado oil cooking spray, 0.5 teaspoon garlic powder, 0.5 teaspoon Himalayan pink salt, 0.25 teaspoon ground multi-colored peppercorns, 0.25 teaspoon red pepper flakes, 0.25 cup freshly grated Parmesan cheese",10 mins,2,20 mins,2023-08-01T15:09:17Z
https://www.allrecipes.com/crab-rangoon-in-the-air-fryer-recipe-7511370,Crab Rangoon in the Air Fryer,8 mins,"Crab rangoon turn extra crispy when cooked in the air fryer. Filled with crab, cream cheese, and spices these little crab puffs are a tasty Chinese-American treat.","Step1: Stir together apricot spread, chili-garlic sauce, soy sauce, orange zest, and orange juice in a small bowl for the dipping sauce. Step2: Preheat air fryer to 350 degrees F (175 degrees C). Step3: Stir together cream cheese, crab, chives, Worcestershire, garlic, pepper, and salt in a bowl for the filling. Arrange 6 wonton wrappers on a work surface. Keep remaining wrappers covered until ready to use to prevent them from drying out. Step4: Spoon about 2 teaspoon crab filling in center of each wrapper. Lightly wet borders of wrapper with water. Bring together the 2 opposite corners of the wrapper over the filling and seal together. Bring remaining 2 corners up toward the center, sealing edges of the wrapper to enclose the filling. Repeat with remaining wrappers and filling. Step5: Working in batches if needed, coat dumplings with cooking spray and arrange in an even layer in the air fryer basket. Step6: Cook until dumplings are crispy and golden brown, about 8 minutes. Serve with sauce.",https://www.allrecipes.com/thmb/4h0_YlaJXW4aW-1j7nh4YgqxL4s=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1511x0:1513x2):format(webp)/277955air-fryer-crab-rangoonLindsay4x3-6f3ecae5ade64d7c9819cb8cac97da0a.jpg,"1/2 cup seedless apricot fruit spread, 1 tablespoon chili-garlic sauce, 1 tablespoon less-sodium soy sauce, 1/2 teaspoon orange zest                                                          , 2 tablespoons fresh juice (from 1 orange), 4 un cream cheese, 4 ounces fresh lump crabmeat, drained, 2 tablespoons chopped fresh chives, 2 teaspoon Worcestershire sauce, 1 clove garlic, grated (1/2 teaspoon), 1/4 teaspoon freshly ground black pepper, 1/8 teaspoon salt, 18 wonton wrappers",30 mins,9,38 mins,2023-08-01T15:09:49Z
https://www.allrecipes.com/recipe/8499615/air-fryer-scrambled-eggs-on-the-go/,Air Fryer Scrambled Eggs On The Go,6 mins,A quick and easy way to make scrambled eggs in your air fryer to take on the go if you&#39;re in a hurry.,Step1: Lightly spray a ramekin dish with non-stick cooking spray. Pour in beaten eggs. Step2: Set air fryer to 370 degrees F (185 degrees C) and place the ramekin into the air fryer basket. Step3: Air fry for 3 minutes. Stir egg mixture and cook for 3 minutes more. Fluff with a fork and season to taste with salt and pepper. Grab and go.,https://www.allrecipes.com/thmb/er9-kTwT1JgWbdABrdukKVzlCCI=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(2431x0:2433x2):format(webp)/air-fryer-waffle-egg-in-hole-4x3-d5a10b3cda4e4ddda68481790e098da1.jpeg,"cooking spray, 2 large eggs, beaten, salt and freshly ground black pepper to taste",4 mins,1,10 mins,2023-08-01T15:10:15Z
https://www.allrecipes.com/recipe/264825/air-fried-sweet-potato-fries/,Air Fryer Sweet Potato Fries,10 mins,"These crispy air fryer sweet potato fries, seasoned with garlic and paprika, are simply addictive and take only 10 minutes to cook.","Step1: Preheat the air fryer to 400 degrees F (200 degrees C). Step2: Cut sweet potato into 1/2-inch wide fries. Place in a bowl with canola oil; toss to coat. Season with salt, pepper, garlic powder, and paprika; mix until all fries are evenly coated. Step3: Working in batches if necessary, place an even layer of fries in the air fryer basket. Step4: Cook in the preheated air fryer until golden, about 10 minutes. Repeat to cook remaining fries. Step5: Serve hot and enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fb35e877ae0b5ee053d00fb4e52759ed0%2F1667438576441BCA78AEE-FF27-4C7F-A27D-599181AFCFA0.jpeg,"1 medium sweet potato, peeled, 1 tablespoon canola oil, 0.5 teaspoon kosher salt, 0.25 teaspoon pepper, 0.125 teaspoon garlic powder, 0.125 teaspoon ground sweet paprika",10 mins,2,20 mins,2023-08-01T15:10:35Z
https://www.allrecipes.com/air-fryer-everything-bagel-salmon-dinner-recipe-7509518,Air Fryer Everything-Bagel Salmon Dinner,20 mins,Salmon fillets are flavored with everything bagel seasoning and cooked in the air fyer with sweet potatoes and broccoli. A perfectly balanced meal for 2 on a weekday.,"Step1: Preheat air fryer to 400 degrees F (200 degrees C). Coat a sheet of foil with cooking spray. Step2: Toss sweet potatoes with 1 1/2 teaspoons oil and 1/8 teaspoon each salt and pepper in a bowl. Arrange sweet potatoes in an even layer on the foil; transfer to the air fryer basket. Cook until mostly tender, about 10 minutes. Step3: Meanwhile, stir together mustard, honey, and mayonnaise in a small bowl. In another bowl, toss broccoli with remaining 1 1/2 teaspoons oil and 1/8 teaspoon each salt and pepper. Step4: Push sweet potatoes to one side of the basket. Add salmon to the other side. Spoon 1 teaspoon mustard mixture onto each fillet; spread to coat tops of fillets. Sprinkle evenly with bagel seasoning. Arrange broccoli around sweet potatoes and salmon. Cook until salmon is opaque and flakes easily with a fork and sweet potatoes and broccoli are tender, 10 to 14 minutes. Step5: Stir soy sauce into the remaining mustard mixture; drizzle over sweet potatoes and broccoli to serve.",https://www.allrecipes.com/thmb/bTp96bLWnN7r28uyGH0YEbH47rM=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/nicole-mclaughlin-portrait-129b390897334dedad8bf1ae0fc22633.jpg,"1 sweet potato (8 ounces), cut into 1/4-inch wedges [You should get about 11/2 cups wedges.], 3 teaspoon olive oil, 1/4 teaspoon salt, 1/4 teaspoon freshly ground black pepper, 1 tablespoon Dijon mustard, 1 tablespoon honey, 2 teaspoon mayonnaise, 2 cups small broccoli florets, 2 (5- to 6-ounces) salmon fillets, about 1 inch thick, 2 teaspoon everything bagel seasoning, 1 teaspoon less-sodium soy sauce",15 mins,2,35 mins,2023-08-01T15:11:26Z
https://www.allrecipes.com/recipe/8527072/air-fryer-loaded-mashed-potato-cakes/,Air Fryer Loaded Mashed Potato Cakes,12 mins,Turn your leftover mashed potatoes into these cheesy mashed potato cakes cooked in the air fryer.,"Step1: Combine mashed potatoes, Cheddar cheese, green onions, bacon bits, and flour in a bowl; stir until combined. Mix in beaten egg. Step2: Preheat air fryer to 400 degrees F (200 degrees C) for 10 minutes. Step3: Form mixture into 6 patties and set on a baking sheet. Place baking sheet in the freezer for 10 minutes while you preheat the air fryer. Step4: Place patties in the air fryer basket in batches, making sure to not overcrowd. Cook undisturbed for 12 minutes. Repeat with remaining patties.",https://www.allrecipes.com/thmb/YK7PiBrvGVHnC4EJBA1EY9EFTts=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(639x0:641x2):format(webp)/Air-Fryer-Mashed-Potato-Cakes-2x1-1-ccbed50fbd3f41048d39f1545ebe5398.jpg,"2 cups cold mashed potatoes, 1 cup shredded Cheddar cheese, 3 green onions, chopped, 0.25 cup real bacon bits, 2 tablespoons all-purpose flour, 1 small egg, beaten",10 mins,6,32 mins,2023-08-01T15:11:36Z
https://www.allrecipes.com/air-fryer-tempura-vegetables-recipe-7510181,Air Fryer Tempura Vegetables,10 mins,"The air fryer makes it easy to cook tempura vegetables. With this formula you can create your own customized tempura-battered veggies by using different vegetables, seasonings, and dipping sauces.","Step1: Preheat air fryer to 350 degrees F (175 degrees C). Step2: Beat egg whites in a bowl until frothy. Whisk in seltzer water until combined. Whisk in flour, SEASONING, salt, and pepper until batter forms. Step3: Coat basket with cooking spray. Dip VEGETABLES into batter until coated; allow excess to drip off. Working in batches if needed, arrange vegetables in an even layer in basket. Cook until golden brown, about 7 minutes. Serve with DIPPING SAUCE.",https://www.allrecipes.com/thmb/YnobRjC9-Xox4g1B80noxK1zV7M=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(2078x1562:2080x1564):format(webp)/7546676-Air-Fryer-Blooming-Onion-CD-R311158-10043-2-4x3-27e22aa4df634f9c9dacf26683316c2d.jpg,"2 egg whites, 1/4 cup plain seltzer water, 1/2 cup flour, 1/4 teaspoon seasoning, 1/2 teaspoon salt, 1/4 teaspoon freshly ground black pepper, 2 cups vegetables, Purchased DIPPING SAUCE, for serving",10 mins,4,20 mins,2023-08-01T15:12:17Z
https://www.allrecipes.com/recipe/268494/basic-air-fryer-hot-dogs/,Basic Air Fryer Hot Dogs,5 mins,Air fryer hot dogs with perfectly toasted buns are ready to serve with your favorite condiments in just five minutes and require minimal cleanup!,"Step1: Preheat an air fryer to 400 degrees F (200 degrees C). Step2: Place buns in a single layer in the air fryer basket; cook in the preheated air fryer until crisp, about 2 minutes. Remove buns to a plate. Step3: Place hot dogs in a single layer in the air fryer basket; cook for 3 minutes. Serve hot dogs in toasted buns.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F01265e849db952fb24050e5eea857bd6%2F168891932471471056202271__9FF5CE1F-A823-4035-AD09-5D1C83E98701-fullsizerender.jpeg,"4 hot dog buns, 4 hot dogs",5 mins,4,10 mins,2023-08-01T15:12:27Z
https://www.allrecipes.com/recipe/8457748/air-fryer-mini-croissants-with-nutella-and-jam/,Air Fryer Mini Croissants with Nutella and Jam,14 mins,These mini croissants filled with Nutella and jam are made with puff pastry and cooked in the air fryer.,"Step1: Preheat air fryer to 300 degrees F (150 degrees C). Step2: Roll out puff pastry on a lightly floured surface into a large square, about 12 inches. Cut into 4 equal squares, and then cut each square in half diagonally, making 8 triangles. Step3: Position the triangle so the wide end is facing you, and the point is away from you. Dip your finger tip in some water, and moisten the edges of each triangle. Whisk the egg and tablespoon of water in a small bowl, and set aside. Step4: Add about 1 teaspoon Nutella to the center, and top with about 1/2 teaspoon strawberry jam. Starting on the wide end, roll up dough over the filling toward the point, pinching in the dough, so the filling doesn&#39;t ooze out, and shaping the ends into a crescent shape. Brush each crescent with egg wash and sprinkle with cinnamon sugar. Step5: Line your air fryer basket with a parchment liner or spray with cooking spray. Place the croissants into your air fryer basket, seam side down, so they&#39;re not touching. Step6: Cook in the air fryer until golden brown,11 to 14 minutes. Your cooking time may vary depending on the size and brand of your air fryer. Step7: Transfer to a wire rack and cool for 5 minutes. Serve warm.",https://www.allrecipes.com/thmb/dV0XZ70aZy_v-VxcjX7YqemGATM=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2):format(webp)/Ways-to-Use-Trader-Joes-Frozen-Croissant-IMG_1595-4x3-3c6cd3d41936494b905fb7c13418324f.jpg,"1 sheet frozen puff pastry, thawed, 1 large egg, 1 tablespoon water, 8 teaspoons chocolate-hazelnut spread (such as Nutella®), 4 teaspoons strawberry jam, 1 teaspoon cinnamon sugar, or as needed",15 mins,8,29 mins,2023-08-01T15:16:53Z
https://www.allrecipes.com/air-fryer-bacon-wrapped-brussels-sprouts-recipe-7484095,Air Fryer Bacon Wrapped Brussels Sprouts,10 mins,Air fryer bacon wrapped Brussels sprouts are a quick and easy side dish.,"Step1: Preheat the air fryer to 400 degrees F (200 degrees C). Step2: Place halved Brussels sprouts in a bowl; sprinkle with steak seasoning and toss to coat. Step3: Wrap a half slice of bacon around a Brussels sprout half and place seam-side-down in the basket of the air fryer. Repeat with remaining bacon and Brussels sprouts. Step4: Cook for 10 minutes undisturbed. Using tongs, transfer to a plate and serve immediately.",https://www.allrecipes.com/thmb/fh8eF2hUqSViyz-XEXULxwTo5a4=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/NicoleRussellSoupLovingNicole-9607577801804bd09ea93bbdb7fcae6d.jpg,"1 pound Brussels sprouts, trimmed and halved (12 sprouts), 2 teaspoons Montreal steak seasoning, 12 slices bacon, halved widthwise",5 mins,4 servings,15 mins,2023-08-01T15:23:21Z
