url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/154833/creamy-roasted-parsnip-soup/,Creamy Roasted Parsnip Soup,45 mins,"This parsnip soup is a delicious blend of roasted vegetables, warm spices, and cream for a smooth, flavor-packed, comforting winter soup.","Step1: Preheat the oven to 425 degrees F (220 degrees C). Step2: Place parsnips and carrots in a mixing bowl; sprinkle with 1 tablespoon olive oil. Toss to coat the vegetables with oil, then season to taste with salt and pepper. Spread vegetables evenly over a baking sheet. Step3: Roast in the preheated oven until parsnips are tender and golden brown, about 30 minutes. Step4: Heat remaining 1 tablespoon of olive oil in a large saucepan over medium heat. Stir in onion and celery; cook and stir until the vegetables have softened and onion is beginning to turn golden brown, about 5 minutes. Reduce the heat to low; stir in butter, garlic, brown sugar, and roasted parsnips and carrots. Continue to cook and stir until the vegetables are very soft and beginning to brown, about 5 to 10 minutes. Step5: Season with ginger, cardamom, allspice, nutmeg, and cayenne pepper; stir for 1 minute. Pour in chicken stock; bring to a boil over medium-high heat. Reduce heat to medium-low, partially cover, and simmer gently for 5 to 10 minutes. Step6: Pour soup into a blender, filling the pitcher no more than halfway full. Hold down the lid of the blender with a folded kitchen towel, and carefully start the blender, using a few quick pulses to get the soup moving before leaving it on to puree. Blend in batches until smooth and pour into a clean pot. Step7: Stir in milk and cream. Return to a simmer over medium-low heat. Season to taste with salt and pepper before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F756ffd3e4575c0ac7f73b5b76930468d%2F1645396578image.jpg,"2 pounds parsnips, peeled and cut into 1/2 inch pieces, 3 carrots, peeled and cut into 1/2-inch pieces, 1 tablespoon olive oil, sea salt and ground black pepper to taste, 1 tablespoon olive oil, 1 large onion, diced, 3 stalks celery, diced, 1 tablespoon butter, 3 cloves garlic, minced, 1 tablespoon brown sugar, 1 teaspoon ground ginger, 0.5 teaspoon ground cardamom, 0.5 teaspoon ground allspice, 0.5 teaspoon ground nutmeg, 0.25 teaspoon cayenne pepper, 4 cups chicken stock, 1 cup whole milk, 0.5 cup heavy cream",30 mins,10,1 hr 15 mins,2023-07-08T09:18:30Z
https://www.allrecipes.com/recipe/12816/cioppino/,Cioppino,40 mins,"This cioppino is a classic seafood stew with fish, shrimp, scallops, clams, mussels, and crab in a warm broth seasoned with basil, thyme, and oregano.","Step1: Melt butter in a large stockpot over medium-low heat. Add onions, parsley, and garlic. Cook and stir until onions are softened, 3 to 4 minutes. Step2: Add tomatoes to the pot (break them into chunks as you add them). Stir in chicken broth, wine, water, bay leaves, basil, thyme, and oregano. Cover and simmer for 30 minutes. Step3: Stir in cod, shrimp, scallops, clams, mussels, and crabmeat. Bring to boil; lower heat, cover, and simmer until clams open up, 5 to 7 minutes. Ladle soup into bowls and serve. Step4: Enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9065709.jpg,"0.75 cup butter, 2 onions, chopped, 1 bunch fresh parsley, chopped, 2 cloves garlic, minced, 2 (14.5 ounce) cans stewed tomatoes, 2 (14.5 ounce) cans chicken broth, 1.5 cups white wine, 1 cup water, 2 bay leaves, 1 tablespoon dried basil, 0.5 teaspoon dried thyme, 0.5 teaspoon dried oregano, 1.5 pounds cod fillets, cubed, 1.5 pounds large shrimp - peeled and deveined, 1.5 pounds bay scallops, 18 small clams, 18 mussels, cleaned and debearded, 1.5 cups crabmeat",10 mins,13,50 mins,2023-07-08T09:18:49Z
https://www.allrecipes.com/recipe/8493264/noodle-bowl-formula/,Noodle Bowl Formula,10 mins,"This basic noodle bowl formula can be made with any type of broth, protein, and vegetable to your liking.","Step1: Bring broth to a boil in a small saucepan. Reduce heat. Step2: Reduce heat. Add vegetables, protein, and noodles. Simmer, stirring occasionally, until ramen noodles are tender and ingredients are heated through, 3 to 5 minutes. Step3: Season with salt and black pepper. Top with sauce and sprinkle with garnish.",https://www.allrecipes.com/thmb/hxpBQcF3hTO8jAqm_m5_dfrXy-Y=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(1999x0:2001x2):format(webp)/7372857_ChickenTeriyakiRiceBowls_Chef-Mo_4x3-3c37e4157f664ecabcca8fbcba2de637.jpg,"3 cups low-sodium broth (any type of broth to taste), 1 cup mixed fresh vegetables, 6 ounces cooked protein (any type of cooked meat, poultry, or tofu), 1 (3 ounce) package ramen noodles (without flavor packet), 0.125 teaspoon salt, 0.125 teaspoon freshly ground black pepper, 1 teaspoon sauce of choice, garnish of choice (e.g. green onions, cilantro, etc.)",5 mins,2,15 mins,2023-07-08T09:19:00Z
https://www.allrecipes.com/recipe/13113/rich-and-creamy-tomato-basil-soup/,Rich and Creamy Tomato Basil Soup,35 mins,"Delicious tomato basil soup made with fresh tomatoes and tomato juice, blended with fresh basil leaves and thickened with heavy cream and butter.","Step1: Gather all ingredients. Step2: Place tomatoes and juice in a stockpot over medium heat; bring to a simmer. Cook until tomatoes have softened, about 30 minutes. Step3: Remove the pot from heat. Add basil leaves to the pot. Step4: Use an immersion blender to purée soup until smooth. Step5: Stir in heavy cream and butter. Cook and stir over medium heat until butter is melted, about 5 minutes. Do not boil. Season with salt and pepper. Step6: Serve hot and enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F5fe688a860501623312357c0f520a9a1%2F1682878607371PXL_20230430_180321875-2.jpg,"4 tomatoes - peeled, seeded and diced, 4 cups tomato juice, 14 leaves fresh basil, 1 cup heavy whipping cream, 0.5 cup butter, salt and pepper to taste",10 mins,4,45 mins,2023-07-08T09:19:18Z
https://www.allrecipes.com/recipe/56927/delicious-ham-and-potato-soup/,Delicious Ham and Potato Soup,20 mins,"Creamy ham and potato soup that&#39;s hearty and wholesome, with tender vegetables in every bite. Pure comfort food and a great way to use leftover ham!","Step1: Combine potatoes, water, ham, celery, and onion in a stockpot. Bring to a boil; simmer over medium heat until potatoes are tender, 10 to 15 minutes. Stir in chicken bouillon, pepper, and salt. Step2: Melt butter in a separate saucepan over medium-low heat. Add flour; cook and stir until thick, about 1 minute. Whisk in milk; cook and stir until thick, 4 to 5 minutes. Step3: Pour milk mixture into the stockpot; cook and stir until warmed through.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Ff0b64c6c31b009c61e9ca7afd0f7b452%2F1682567674152A4A79DF3-AA8B-4820-83A6-1029ACFD38C8.jpeg&q=60&c=sc&orient=true&w=160&poi=auto&h=90,"3.5 cups peeled and diced potatoes, 3.25 cups water, 0.75 cup diced cooked ham, 0.33333334326744 cup diced celery, 0.33333334326744 cup finely chopped onion, 2 tablespoons chicken bouillon granules, 1 teaspoon ground white or black pepper, or to taste, 0.5 teaspoon salt, or to taste, 5 tablespoons butter, 5 tablespoons all-purpose flour, 2 cups milk",20 mins,8,40 mins,2023-07-08T09:20:36Z
https://www.allrecipes.com/recipe/218562/super-easy-chicken-and-dumplings/,Super Easy Chicken and Dumplings,15 mins,"This recipe for easy chicken and dumplings could not be more simple and it tastes great too. With just a few ingredients, you can enjoy this classic.","Step1: Stir condensed soup, chicken broth, and shredded chicken together in a large saucepan over medium-high heat until it begins to simmer. Step2: Cut each biscuit into quarters, and gently stir into the simmering soup. Step3: Reduce heat to medium-low, cover, and simmer until biscuits are no longer doughy in the center, 10 to 15 minutes.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F3a02b10df25d2426c451a381e029d17c%2F1688765802177IMG_20230707_165725477.jpg,"2 (10.5 ounce) cans condensed cream of chicken soup, 3 (14 ounce) cans chicken broth, 3 cups shredded cooked chicken meat, 2 (10 ounce) cans refrigerated biscuit dough",5 mins,8,20 mins,2023-07-08T09:20:52Z
https://www.allrecipes.com/recipe/228443/authentic-pho/,How to Make Homemade Pho (Authentic),7 hrs 5 mins,"Authentic pho soup is all about the broth! Don&#39;t skimp on the simmering time or you&#39;ll miss out on the complex, aromatic flavors that are so important to this soup.","Step1: Gather all ingredients. Step2: Preheat the oven to 425 degrees F (220 degrees C). Step3: Place beef bones on a baking sheet and roast in the preheated oven until browned, about 1 hour. Step4: Place onion halves on a second baking sheet and roast on another rack until blackened and soft, about 45 minutes. Step5: Transfer beef bones and onion halves to a large stockpot. Add ginger, salt, star anise, fish sauce, and 4 quarts water; bring to a boil. Reduce heat to low and simmer for 6 to 10 hours. Strain the broth into a saucepan and set aside. Step6: Place rice noodles in a large bowl filled with room temperature water. Let soak for 1 hour. Drain. Step7: When noodles have soaked for 1 hour, heat up the reserved broth by bringing it to a simmer. Step8: Bring a large pot of water to a boil. Cook the noodles in the boiling water for 1 minute. Drain. Step9: Divide noodles among 4 serving bowls; top with sirloin, cilantro, and green onion. Ladle hot broth over the top. Stir and let sit until beef is partially cooked and no longer pink, 1 to 2 minutes. Step10: Serve with bean sprouts, Thai basil, lime wedges, hoisin sauce, and chile-garlic sauce on the side.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2Fd3de43479586aeb33eb274dd2d1c6f90%2F1677356738181IMG_1954.jpg,"4 pounds beef soup bones (shank and knee), 1 medium onion, unpeeled and cut in half, 5 slices fresh ginger, 1 tablespoon salt, 2 pods star anise, 2.5 tablespoons fish sauce, 4 quarts water, 1 (8 ounce) package dried rice noodles, 1.5 pounds beef top sirloin, thinly sliced, 0.5 cup chopped cilantro, 1 tablespoon chopped green onion, 1.5 cups bean sprouts, 1 bunch Thai basil, 1 medium lime, cut into 4 wedges, 0.25 cup hoisin sauce, 0.25 cup chile-garlic sauce (such as Sriracha®)",20 mins,4,8 hrs 25 mins,2023-07-08T09:21:11Z
https://www.allrecipes.com/recipe/230904/hearty-barley-turkey-soup/,Hearty Barley Turkey Soup,3 hrs 35 mins,This turkey barley soup is made with homemade turkey stock from your Thanksgiving turkey. It&#39;s rich in flavor and loaded with barley and aromatic veggies.,"Step1: Gather all stock and soup ingredients. Step2: Make the turkey stock: Combine 5 quarts water and turkey carcass in a large stockpot over medium-high heat; bring to a boil. Add onion, carrot, celery, peppercorns, bay leaf, and thyme. Reduce the heat and simmer, skimming excess fat and foam from the surface as needed and adding more water as it evaporates, for 2 to 2 1/2 hours. Step3: Remove carcass to a cutting board and cool. Strain stock; discard solids and return liquid to the pot. Step4: Pull meat from cooled carcass and discard bones. Shred meat and refrigerate until needed. Step5: Make the soup: Add carrots, onions, celery, barley, mushrooms, bay leaves, salt, marjoram, pepper, and thyme to stock; bring to a boil. Reduce the heat and simmer, stirring occasionally, until barley is fully cooked, about 1 hour 20 minutes. Step6: Return shredded turkey to the soup; simmer until heated through, about 10 minutes. Remove bay leaves and serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4955032.jpg,"5 quarts water, or as needed, 1 turkey carcass, 1.5 cups coarsely chopped onion, 0.5 cup chopped carrot, 3 stalks celery, cut in half, 10 whole black peppercorns, 1 large bay leaf, 1 pinch dried thyme, or to taste, 1.5 pounds carrots, cut into 1-inch chunks, 2 medium onions, diced, 6 stalks celery, cut into 1/2-inch slices, 1 cup barley, 0.5 cup chopped mushrooms, 2 large bay leaves, 2 teaspoons salt, 1 teaspoon dried marjoram, 0.5 teaspoon ground black pepper, 1 pinch dried thyme",10 mins,12,3 hrs 45 mins,2023-07-08T09:21:24Z
https://www.allrecipes.com/recipe/8941/slow-cooker-chicken-and-dumplings/,Slow Cooker Chicken and Dumplings,5 hrs,"An easy crockpot chicken and dumplings recipe packed with creamy chicken and soft biscuit dumplings made in a slow cooker for a filling, comforting meal.","Step1: Place chicken, condensed soup, onion, and butter in a slow cooker. Add enough water to cover; stir well. Cover and cook on High for 5 to 6 hours. Step2: About 30 minutes before serving, tear biscuit dough into pieces. Place dough in the slow cooker. Cook until dough is no longer raw in the center. Step3: Serve hot and enjoy!",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F6a5cde82922cdcb5cb903e2e66b7c394%2F1670537864988924C90A7-5A5E-402C-AD9A-D2BF48FA53AF.jpeg,"4 skinless, boneless chicken breast halves, 2 tablespoons butter, 2 (10.5 ounce) cans condensed cream of chicken soup, 1 medium onion, finely diced, 1 (10 ounce) package refrigerated biscuit dough, 2 cups water, or as needed to cover",10 mins,8,5 hrs 10 mins,2023-07-08T09:21:41Z
https://www.allrecipes.com/recipe/143069/super-delicious-zuppa-toscana/,Super-Delicious Zuppa Toscana,55 mins,"Zuppa Toscana made with sausage, potatoes, cream, spinach, and red pepper flakes. Tastes just like the one at your local Italian chain restaurant.","Step1: Cook Italian sausage and red pepper flakes in a Dutch oven over medium-high heat until crumbly, browned, and no longer pink, 10 to 15 minutes. Drain and set aside. Step2: Cook bacon in the same Dutch oven over medium heat until crisp, about 10 minutes. Drain, leaving a few tablespoons of drippings with the bacon in the bottom of the Dutch oven. Stir in onions and garlic; cook until onions are soft and translucent, about 5 minutes. Step3: Stir in chicken broth and bring to a boil over high heat. Add potatoes and simmer until fork tender, about 20 minutes. Reduce heat to medium; stir in cream, cooked sausage, and spinach. Cook and stir until spinach has wilted and sausage is warmed through; serve.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F8eb5cff850ad967156cf05e903fde7ae%2F1686675871035image.jpg,"1 pound bulk mild Italian sausage, 1.25 teaspoons crushed red pepper flakes, 4 slices bacon, cut into 1/2 inch pieces, 1 large onion, diced, 1 tablespoon minced garlic, 5 (13.75 ounce) cans chicken broth, 6 medium potatoes, thinly sliced, 1 cup heavy cream, 0.25 bunch fresh spinach, tough stems removed",20 mins,6,1 hr 15 mins,2023-07-08T09:21:58Z
